Title,Address,Website,Phone,Category,Apify_Emails,HR_Best_Email,HR_Better_Email,Sales_Best_Email,Careers_Page,Instagram,Facebook,X_Twitter,LinkedIn
El Rancherito Restaurant,"17734 Saticoy St, Reseda, CA 91335",Not found,(818) 758-9775,Mexican restaurant,,Not found,Not found,Not found,Not found,,,,
SAN ANTONIO RESTAURANT,"234 N Pacific Ave, San Pedro, CA 90731",Not found,(424) 287-2373,Restaurant,,Not found,Not found,Not found,Not found,,,,
Pupuseria & Restaurant Las Isletas,"6801 Lankershim Blvd, North Hollywood, CA 91605",Not found,(818) 759-0899,Salvadoran restaurant,,Not found,Not found,Not found,Not found,,,,
Puesta Del Sol,"1622 S Gaffey St, San Pedro, CA 90731",http://puestadelsolsp.com/,(310) 833-9765,Mexican restaurant,,,,,,,,,
Peru's Taste Restaurant,"8246 Louise Ave, Northridge, CA 91325",http://orderperuvian.com/,(818) 708-7061,Peruvian restaurant,,,,,,http://instagram.com/perustaste,https://www.facebook.com/perustasteNorthridge/,,
Versailles Cuban Food- Encino,"17410 Ventura Blvd, Encino, CA 91316",http://versaillescubanfood.com/,(818) 906-0756,Cuban restaurant,info@versaillescubanfood.com,,,,,,https://www.facebook.com/pg/VersaillesCubanFood/about/?ref=page_internal,,
Cafe FooDelicious,"8063 Vineland Ave, Sun Valley, CA 91352",https://www.cafefoodeliciousla.com/,(818) 504-8003,American restaurant,,,,,,,,,
El pipil restaurant,"11101 Sherman Way, Sun Valley, CA 91352",http://elpipilrestaurantca.com/,(818) 747-7224,Restaurant,,,,,,,,,
Pinas Cafe,"875 W 9th St, San Pedro, CA 90731",https://www.facebook.com/Pinas-Cafe-Mexican-Food-176532795776575/,(310) 833-3361,Mexican restaurant,,,,,,,,,
"Chiguacle, Restaurant & Tortilleria","8255 Sunland Blvd, Sun Valley, CA 91352",https://www.chiguacle.com/,(818) 394-9405,Mexican restaurant,,,,,,,,,
Blai restaurant,"5780 Canoga Ave Suite B, Woodland Hills, CA 91367",https://www.blaithai.com/,(747) 242-1112,Thai restaurant,,,,,,,,,
La Siciliana,"347 W 6th St, San Pedro, CA 90731",http://www.eatlasiciliana.com/,(424) 570-0101,Southern Italian restaurant,,,,,,https://www.instagram.com/eatlasiciliana,https://www.facebook.com/EatLaSiciliana/,,
Crazy Fish Grill - San Pedro,"28158 S Western Ave, San Pedro, CA 90732",https://www.crazyfish.com/,(310) 547-9968,Seafood restaurant,info@crazyfish.com,,,,https://www.crazyfish.com/menus-crazy-fish/; https://www.crazyfish.com/about-us-crazy-fish/; https://www.crazyfish.com/menus-crazy-fish/#small-bites; https://www.crazyfish.com/; https://www.crazyfish.com/store/gift-cards/; https://www.crazyfish.com/store/; https://www.crazyfish.com/catering/; https://www.crazyfish.com/jobs/; https://www.crazyfish.com/#main-content; https://www.crazyfish.com/menus-crazy-fish/#bowlsburritos; https://www.crazyfish.com/menus-crazy-fish/#from-the-grill-copy; https://www.crazyfish.com/contact/; https://www.crazyfish.com/catering; https://www.crazyfish.com/menus-crazy-fish/#tacos; https://www.crazyfish.com/menus-crazy-fish/#main-content,https://www.instagram.com/crazyfishgm/?hl=en,https://www.facebook.com/CrazyFishGM/,,
The Whale & Ale Gastropub,"327 W 7th St, San Pedro, CA 90731",http://www.thewhaleandale.com/,(424) 264-5115,Gastropub,mardo@thewhaleandale.com; thomas@thewhaleandale.com,,,,,https://www.instagram.com/whaleandalegastropub/,https://www.facebook.com/profile.php?id=61559372573349,,
AYCE GOGI Van Nuys,"7128 Van Nuys Blvd, Van Nuys, CA 91405",http://www.aycegogi.com/,(818) 465-3050,Korean restaurant,,,l%@52\Pz; Q@CT\�jp; Th@LdP\tXltXRBtfF; HtPw@4\{FN; ol@PZhXI\\cv; O@O\<is; a@BY\�IX; WHZ@xVhTnXBQtBQLFeJFEJJYbrYBZeRZEBBaXlnP\^PbaH; ONM@YGtIk\NUX; O7aJb@qq\}mfgGi; occ@Sc\;OV; _BD@J\PZB; J@I\�Id,,https://aycegogi.com/employment; http://www.aycegogi.com/; https://aycegogi.com/employment#content; http://www.aycegogi.com/#content,https://www.instagram.com/aycegogi/,https://www.facebook.com/profile.php?id=100063590890264,,
Vicky's Doghouse,"250 S Harbor Blvd, San Pedro, CA 90731",https://www.pacificbattleship.com/doghouse/,(424) 772-0525,Restaurant,doghouse@labattleship.com; Development@labattleship.com; development@labattleship.com; accounting@labattleship.com; support@labattleship.com; %20education@labattleship.com; education@labattleship.com; museum@labattleship.com; filming@labattleship.com; groupsales@labattleship.com; hr@labattleship.com; it@labattleship.com; marketing@labattleship.com; membership@labattleship.com; security@labattleship.com; store@labattleship.com; shipops@labattleship.com; events@labattleship.com; ticketing@labattleship.com; tours@labattleship.com; volunteer@labattleship.com; press@labattleship.com,,,,https://pacificbattleship.com; https://pacificbattleship.com/; https://pacificbattleship.com/donate/; https://pacificbattleship.com/battleshipussiowa/#tickets; https://pacificbattleship.com/battleshipussiowa/; https://pacificbattleship.com/programs/,http://www.instagram.com/battleshipiowa,https://www.facebook.com/vickysdoghouse/,http://twitter.com/ussiowa,
Vitello's Restaurant,"4349 Tujunga Ave, Studio City, CA 91604",https://www.vitellosrestaurant.com/,(818) 769-0905,Italian restaurant,,,wBT@Z\XvrTN; _DX@dTh\\lr; gujP@F\|zF; _xB@TrH\zDRvlzQj; J@6ndVd\nLb; y@4\FTV; h@bXPJdhFLxv\tAR,,https://www.vitellosrestaurant.com/_files/ugd/190994_bb67bff45ab447dda6cca3e953fb1d2b.pdf,https://www.instagram.com/vitellosstudiocity/,https://m.facebook.com/vitellosrestaurant/,,
