Title,Address,Website,Phone,Category,HR_Best_Email,HR_Better_Email,Sales_Best_Email,Careers_Page,Instagram,Facebook,X_Twitter,LinkedIn
Pupuseria & Restaurant Las Isletas,"6801 Lankershim Blvd, North Hollywood, CA 91605",Not found,(818) 759-0899,Salvadoran restaurant,,,,Not found,,,,
Evergreen Restaurant,"17621 Sherman Way, Van Nuys, CA 91406",Not found,(818) 708-0099,Korean restaurant,,,,Not found,,,,
Fortune House Restaurant,"17206 Saticoy St, Lake Balboa, CA 91406",https://www.fortunehousethairestaurant.com/,(818) 781-4699,Thai restaurant,,,,,,,,
Anarbagh - Woodland Hills Indian Restaurant,"22721 Ventura Blvd, Woodland Hills, CA 91364",https://anarbaghrestaurant.com/,(818) 224-3929,Restaurant,,,,,https://www.instagram.com/anarbaghrestaurant/,,,
El Rancherito Restaurant,"17734 Saticoy St, Reseda, CA 91335",Not found,(818) 758-9775,Mexican restaurant,,,,Not found,,,,
Cafe FooDelicious,"8063 Vineland Ave, Sun Valley, CA 91352",https://www.cafefoodeliciousla.com/,(818) 504-8003,American restaurant,,,,https://www.cafefoodeliciousla.com/jobs/,https://www.instagram.com/thebakercafe/?hl=en,https://www.facebook.com/bakerbakeryandcafe/,,
Koko's Middle Eastern,"16935 Vanowen St, Van Nuys, CA 91406",https://www.kokosmiddleasternrestaurant.com/,(818) 708-1877,Syrian restaurant,,,,https://www.kokosmiddleasternrestaurant.com/jobs/,https://www.instagram.com/thebakercafe/?hl=en,https://www.facebook.com/bakerbakeryandcafe/,,
"Chiguacle, Restaurant & Tortilleria","8255 Sunland Blvd, Sun Valley, CA 91352",https://www.chiguacle.com/,(818) 394-9405,Mexican restaurant,,,,https://www.chiguacle.com/jobs/,https://www.instagram.com/thebakercafe/?hl=en,https://www.facebook.com/bakerbakeryandcafe/,,
Versailles Cuban Food- Encino,"17410 Ventura Blvd, Encino, CA 91316",http://versaillescubanfood.com/,(818) 906-0756,Cuban restaurant,,info@versaillescubanfood.com,,http://versaillescubanfood.com/jobs/,https://www.instagram.com/thebakercafe/?hl=en,https://www.facebook.com/bakerbakeryandcafe/,,
Winnetka Restaurant,"7560 Winnetka Ave, Winnetka, CA 91306",Not found,(818) 678-9658,Restaurant,,,,Not found,,,,
The Baker Restaurant Bakery & Cafe,"21600 Ventura Blvd, Woodland Hills, CA 91364",http://www.thebakerrestaurant.com/,(818) 340-1987,Restaurant,,info@casalena.la,,http://www.thebakerrestaurant.com/jobs/,https://www.instagram.com/thebakercafe/,https://www.facebook.com/bakerbakeryandcafe/,http://www.twitter.com/casalenala,https://www.linkedin.com/company/casalena/mycompany/?viewAsMember=true
Flooky's - Woodland Hills,"21034 Victory Blvd, Woodland Hills, CA 91367",http://www.myflookys.com/locations/woodlandhills,(818) 340-7797,Restaurant,,info@casalena.la,,http://www.myflookys.com/jobs/,https://www.instagram.com/flookys/,https://www.facebook.com/flookysdeli1/,http://www.twitter.com/casalenala,https://www.linkedin.com/company/casalena/mycompany/?viewAsMember=true
Vinh Loi Tofu,"18625 Sherman Way #101, Reseda, CA 91335",https://www.vinhloitofu.com/,(818) 996-9779,Vegan restaurant,,info@casalena.la,,https://www.vinhloitofu.com/jobs/,https://www.instagram.com/vinhloitofu/,https://www.facebook.com/vinhloitofu/,twitter.com/en/,https://www.linkedin.com/company/casalena/mycompany/?viewAsMember=true
Nico's Family Restaurant,"7166 Shoup Ave, West Hills, CA 91307",http://nicos-restaurant.com/,(818) 888-3998,Family restaurant,,,,,,https://www.facebook.com/Nicos,,
Blvd Indian Restaurant,"20839 Ventura Blvd, Woodland Hills, CA 91364",https://blvdindianrestaurant.com/,(747) 230-4001,Indian restaurant,,,,,https://www.instagram.com/BlvdIndianRestaurant,,,
Casaléna,"22160 Ventura Blvd, Woodland Hills, CA 91364",http://casalena.la/,(818) 704-1185,Restaurant,,info@casalena.la,,,https://www.instagram.com/casalena.la/,https://www.facebook.com/casalena.la,http://www.twitter.com/casalenala,https://www.linkedin.com/company/casalena/
