Business Name,Address,Rating,Website,AI Description,Potential Jobs,Required Skills,Matched Skill IDs,Matched Skill Names
Vons,"3461 W 3rd St, Los Angeles, CA 90020, United States",4.2,https://local.vons.com/ca/los-angeles/3461-w-3rd-st.html,N/A,,,,
Ralphs Fresh Fare,"645 W 9th St, Los Angeles, CA 90015, United States",4.1,https://www.ralphs.com/stores/grocery/ca/los-angeles/9th-flower/703/00022?cid=loc_70300022_gmb,N/A,,,"1, 2, 3, 5, 12, 13, 14, 18, 19, 21, 23, 24, 25, 27, 28, 29, 45, 47, 50, 51, 52, 53, 446","Retail & Foodservice>Management>Retail, Retail & Foodservice>Management>Merchandising, Retail & Foodservice>Management>Procurement: consumer / retail, Retail & Foodservice>Management>Inventory, Retail & Foodservice>Management>Baking, Retail & Foodservice>Management>Pastry, Retail & Foodservice>Management>Meat & Seafood, Retail & Foodservice>Sales, Customer Services & Retail Operations>Customer service, Retail & Foodservice>Sales, Customer Services & Retail Operations>Cashier, Retail & Foodservice>Sales, Customer Services & Retail Operations>Procurement: consumer / retail, Retail & Foodservice>Sales, Customer Services & Retail Operations>Merchandising, Retail & Foodservice>Sales, Customer Services & Retail Operations>Receiving, Retail & Foodservice>Sales, Customer Services & Retail Operations>Inventory, Retail & Foodservice>Sales, Customer Services & Retail Operations>General labor: light lifting, Retail & Foodservice>Sales, Customer Services & Retail Operations>General labor: heavy lifting, Retail & Foodservice>Sales, Customer Services & Retail Operations>Janitorial / custodial, Retail & Foodservice>Kitchen / Food>Food prep / assembly, Retail & Foodservice>Kitchen / Food>Making sushi, Retail & Foodservice>Kitchen / Food>Butcher, Retail & Foodservice>Kitchen / Food>Fishmonger / seafood, Retail & Foodservice>Kitchen / Food>Baking, Retail & Foodservice>Kitchen / Food>Pastry, Craft Services, Repair & Restoration: Consumer Goods>Furniture, Picture Framing, Knife Sharpening & Florists>Florist"
Ralphs,"7257 W Sunset Blvd, Los Angeles, CA 90046, United States",4.2,https://www.ralphs.com/stores/grocery/ca/los-angeles/sunset/703/00100?cid=loc_70300100_gmb,N/A,,,,
Vons,"4520 W Sunset Blvd, Los Angeles, CA 90027, United States",4.2,https://local.vons.com/ca/los-angeles/4520-sunset-blvd.html,N/A,,,,
Pavilions,"727 Vine St, Los Angeles, CA 90038, United States",4.3,https://local.pavilions.com/ca/los-angeles/727-n-vine-st.html,N/A,,,,
Ralphs,"670 S Western Ave, Los Angeles, CA 90005, United States",4.1,https://www.ralphs.com/stores/grocery/ca/los-angeles/wiltern/703/00016?cid=loc_70300016_gmb,N/A,,,,
Ralphs,"2600 S Vermont Ave, Los Angeles, CA 90007, United States",4.3,https://www.ralphs.com/stores/grocery/ca/los-angeles/renaissance-plaza/703/00294?cid=loc_70300294_gmb,N/A,,,,
Trader Joe's,"1600 Vine St, Los Angeles, CA 90028, United States",4.6,https://locations.traderjoes.com/ca/los-angeles/206/?utm_source=gmb&utm_medium=organic&utm_campaign=local,N/A,,,,
Pavilions,"8969 Santa Monica Blvd, West Hollywood, CA 90069, United States",4.4,https://local.pavilions.com/ca/west-hollywood/8969-santa-monica-blvd.html,N/A,,,,
Ralphs,"260 S La Brea Ave, Los Angeles, CA 90036, United States",4.2,https://www.ralphs.com/stores/grocery/ca/los-angeles/la-brea/703/00039?cid=loc_70300039_gmb,N/A,,,,
Whole Foods Market,"6350 W 3rd St, Los Angeles, CA 90036, United States",4.3,https://www.wholefoodsmarket.com/stores/fairfax?utm_source=google&utm_medium=organic&utm_campaign=listings,N/A,,,,
Whole Foods Market,"788 S Grand Ave, Los Angeles, CA 90017, United States",4.4,https://www.wholefoodsmarket.com/stores/downtownlosangeles?utm_source=google&utm_medium=organic&utm_campaign=listings,N/A,,,,
Trader Joe's,"3131 S Hoover St Ste 1920, Los Angeles, CA 90089, United States",4.6,https://locations.traderjoes.com/ca/los-angeles/250/?utm_source=gmb&utm_medium=organic&utm_campaign=local,N/A,,,,
Smart & Final Extra!,"939 N Western Ave, Los Angeles, CA 90029, United States",4.2,http://www.smartandfinal.com/store,N/A,,,,
Ralphs,"3410 W 3rd St, Los Angeles, CA 90020, United States",4,https://www.ralphs.com/stores/grocery/ca/los-angeles/third-street/703/00032?cid=loc_70300032_gmb,N/A,,,,
Trader Joe's,"175 S Fairfax Ave, Los Angeles, CA 90036, United States",4.6,https://locations.traderjoes.com/ca/los-angeles/240/?utm_source=gmb&utm_medium=organic&utm_campaign=local,N/A,,,,
Trader Joe's,"2738 Hyperion Ave, Los Angeles, CA 90027, United States",4.6,https://locations.traderjoes.com/ca/los-angeles/17/?utm_source=gmb&utm_medium=organic&utm_campaign=local,N/A,,,,
Vons,"1430 S Fairfax Ave, Los Angeles, CA 90019, United States",4.2,https://local.vons.com/ca/los-angeles/1430-s-fairfax-ave.html,N/A,,,,
Food 4 Less,"1717 S Western Ave, Los Angeles, CA 90006, United States",4.2,https://www.food4less.com/stores/grocery/ca/los-angeles/westernvenice/704/00381?cid=loc_70400381_gmb,N/A,,,,
Ralphs,"1233 N La Brea Ave, West Hollywood, CA 90038, United States",3.9,https://www.ralphs.com/stores/grocery/ca/west-hollywood/la-brea-marketplace/703/00293?cid=loc_70300293_gmb,N/A,,,,
