name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
Los Angeles County Animal Care and Control,"5210 W Ave I, Lancaster, CA 93536, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
County of Los Angeles Department of Animal Care and Control - Baldwin Park Animal Care Center,"4275 Elton St, Baldwin Park, CA 91706, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
County of Los Angeles Department of Animal Care and Control - Downey Animal Care Center,"11258 Garfield Ave, Downey, CA 90242, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
South Los Angeles Animal Care Center,"1850 W 60th St, Los Angeles, CA 90047, United States",,Animal Care And Services,Animal Shelter,,,none
County of Los Angeles Department of Animal Care and Control,"5898 Cherry Ave, Long Beach, CA 90805, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
South LA Animal Shelter,"1850 W 60th St, Los Angeles, CA 90047, United States",http://www.laanimalservices.com/,Animal Care And Services,Animal Shelter,,,none
Palmdale Animal Care Center,"38550 Sierra Hwy, Palmdale, CA 93550, United States",https://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
Los Angeles County Animal Care and Control- Castaic Care Center,"31044 Charlie Canyon Rd, Castaic, CA 91384, United States",http://animalcare.lacounty.gov/,Animal Care And Services,Animal Shelter,,,none
PAWS/LA,"150 W 24th St, Los Angeles, CA 90007, United States",http://www.pawsla.org/,Animal Care And Services,Pet walking,,,none
"LAASER Los Angeles Animal Specialty, Emergency & Rehabilitation","2500 N San Fernando Rd, Los Angeles, CA 90065, United States",https://laaser.vet/,Animal Care And Services,Pet Training,,,none
Los Angeles City East Valley Animal Shelter,"14409 Vanowen St, Van Nuys, CA 91405, United States",http://www.laanimalservices.com/,Animal Care And Services,Animal Shelter,,,none
North Central Animal Shelter,"3201 Lacy St, Los Angeles, CA 90031, United States",http://www.laanimalservices.com/shelters/,Animal Care And Services,Animal Shelter,,,none
Animal Care,"Los Angeles, CA 90027, United States",,Animal Care And Services,Animal Shelter,,,none
West Los Angeles Animal Shelter,"11361 W Pico Blvd, Los Angeles, CA 90064, United States",http://www.laanimalservices.com/shelters/,Animal Care And Services,Animal Shelter,,,none
Pet Care LA,"10008 National Blvd, Los Angeles, CA 90034, United States",http://www.petcarela.com/,Animal Care And Services,Pet Training,,,none
PetCare LB,"4872 Venice Blvd., Los Angeles, CA 90019, United States",https://petcarelb.godaddysites.com/,Animal Care And Services,Pet Training,,,none
Veterinary Care Center,"6455 Santa Monica Blvd, Los Angeles, CA 90038, United States",http://www.veterinarycarecenter.com/,Animal Care And Services,Vetinary Services,,,none
Carson Animal Shelter,"216 W Victoria St, Gardena, CA 90248, United States",https://animalcare.lacounty.gov/acc-carson-gardena,Animal Care And Services,Animal Shelter,,,none
LAAS Los Angeles Animal Services Bernheim Foundation,"Vanowen St, Van Nuys, CA 91405, United States",https://www.laanimalservices.com/east-valley,Animal Care And Services,Animal Shelter,,,none
Harbor Animal Care Center,"957 N Gaffey St, San Pedro, CA 90731, United States",http://www.laanimalservices.com/,Animal Care And Services,Animal Shelter,,,none
Animal Health Care Center,"5211 El Verano Ave, Los Angeles, CA 90041, United States",http://www.ahccla.com/,Animal Care And Services,Animal Shelter,,,none
TrueCare for Pets,"11730 Ventura Blvd, Los Angeles, CA 91604, United States",https://bluepearlvet.com/hospital/los-angeles-ca/?utm_source=maps&utm_medium=google&utm_campaign=gbp,Animal Care And Services,Pet Training,,,none
