name,address,website,phone number,business group,matched business type,source
South LA Animal Shelter,"1850 W 60th St, Los Angeles, CA 90047, United States",http://www.laanimalservices.com/,(888) 452-7381,Animal Care And Services,Animal Shelter,google_places
West Los Angeles Animal Shelter,"11361 W Pico Blvd, Los Angeles, CA 90064, United States",http://www.laanimalservices.com/shelters/,(888) 452-7381,Animal Care And Services,Animal Shelter,google_places
Los Angeles City East Valley Animal Shelter,"14409 Vanowen St, Van Nuys, CA 91405, United States",http://www.laanimalservices.com/,(888) 452-7381,Animal Care And Services,Animal Shelter,google_places
North Central Animal Shelter,"3201 Lacy St, Los Angeles, CA 90031, United States",http://www.laanimalservices.com/shelters/,(888) 452-7381,Animal Care And Services,Animal Shelter,google_places
County of Los Angeles Department of Animal Care and Control - Baldwin Park Animal Care Center,"4275 Elton St, Baldwin Park, CA 91706, United States",http://animalcare.lacounty.gov/,(626) 962-3577,Animal Care And Services,Animal Shelter,google_places
County of Los Angeles Department of Animal Care and Control - Downey Animal Care Center,"11258 Garfield Ave, Downey, CA 90242, United States",http://animalcare.lacounty.gov/,(562) 940-6898,Animal Care And Services,Animal Shelter,google_places
Los Angeles County Animal Care and Control,"5210 W Ave I, Lancaster, CA 93536, United States",http://animalcare.lacounty.gov/,(661) 940-4191,Animal Care And Services,Animal Shelter,google_places
Harbor Animal Care Center,"957 N Gaffey St, San Pedro, CA 90731, United States",http://www.laanimalservices.com/,(888) 452-7381,Animal Care And Services,Animal Shelter,google_places
South Los Angeles Animal Care Center,"1850 W 60th St, Los Angeles, CA 90047, United States",,(562) 417-5464,Animal Care And Services,Animal Shelter,google_places
LAAS Los Angeles Animal Services Bernheim Foundation,"Vanowen St, Van Nuys, CA 91405, United States",https://www.laanimalservices.com/east-valley,,Animal Care And Services,Animal Shelter,google_places
West Valley Animal Shelter,"20655 Plummer St, Chatsworth, CA 91311, United States",http://www.laanimalservices.com/shelters/,(888) 452-7381,Animal Care And Services,Animal Shelter,google_places
Carson Animal Shelter,"216 W Victoria St, Gardena, CA 90248, United States",https://animalcare.lacounty.gov/acc-carson-gardena,(310) 523-9566,Animal Care And Services,Animal Shelter,google_places
SEAACA Animal Shelter,"9777 Seaaca St, Downey, CA 90241, United States",http://www.seaaca.org/,(562) 803-3301,Animal Care And Services,Animal Shelter,google_places
Long Beach Animal Care Services,"7700 E Spring St, Long Beach, CA 90815, United States",http://www.longbeach.gov/acs,(562) 570-7387,Animal Care And Services,Vetinary Services,google_places
Best Friends Pet Adoption Center,"1845 Pontius Ave, Los Angeles, CA 90025, United States",https://bestfriends.org/los-angeles,(424) 208-8840,Animal Care And Services,Pet walking,google_places
Los Angeles County Animal Care and Control- Castaic Care Center,"31044 Charlie Canyon Rd, Castaic, CA 91384, United States",http://animalcare.lacounty.gov/,(661) 257-3191,Animal Care And Services,Animal Shelter,google_places
County of Los Angeles Department of Animal Care and Control,"5898 Cherry Ave, Long Beach, CA 90805, United States",http://animalcare.lacounty.gov/,(562) 728-4882,Animal Care And Services,Animal Shelter,google_places
L.A. County Animal Control,"38550 Sierra Hwy, Palmdale, CA 93550, United States",https://animalcare.lacounty.gov/,(562) 940-6898,Animal Care And Services,Animal Shelter,google_places
City of Santa Monica Animal Shelter,"1640 9th St, Santa Monica, CA 90404, United States",https://www.santamonica.gov/categories/services/animal-services,(310) 458-8595,Animal Care And Services,Animal Shelter,google_places
Pasadena Humane,"361 S Raymond Ave, Pasadena, CA 91105, United States",http://www.pasadenahumane.org/,(626) 792-7151,Animal Care And Services,Animal Shelter,google_places
PetRadar: Lost Cat & Missing Cat Search Los Angeles,"633 W 5th St, Los Angeles, CA 90071, United States",https://www.petradar.org/en/lost-cats/us/los%20angeles,,Animal Care And Services,Pet Sitting,google_places
LA Animal Rescue,"Topanga Canyon Plaza, 9909 CA-27, Chatsworth, CA 91311, United States",https://www.laanimalrescue.org/contact-us,(888) 861-6155,Animal Care And Services,Animal Shelter,google_places
PAWS/LA,"150 W 24th St, Los Angeles, CA 90007, United States",http://www.pawsla.org/,(213) 741-1950,Animal Care And Services,Pet walking,google_places
ALL STAR ANIMAL TRAPPING,"15841 Wyandotte St, Van Nuys, CA 91406, United States",http://www.allstaranimaltrapping.com/,(323) 540-2011,Animal Care And Services,Animal Shelter,google_places
Burbank Animal Shelter,"1150 N Victory Pl, Burbank, CA 91502, United States",http://burbankanimalshelter.org/,(818) 238-3340,Animal Care And Services,Animal Shelter,google_places
spcaLA Pet Adoption Center,"5026 W Jefferson Blvd, Los Angeles, CA 90016, United States",https://spcala.com/adoptable/,(323) 730-5300,Animal Care And Services,Animal Shelter,google_places
spcaLA South Bay Pet Adoption Center,"12910 Yukon Ave, Hawthorne, CA 90250, United States",https://spcala.com/adoptable/,(310) 676-1149,Animal Care And Services,Animal Shelter,google_places
Home Dog LA,"3201 Lacy St, Los Angeles, CA 90031, United States",http://homedogla.org/contact/,(213) 221-4895,Animal Care And Services,Pet walking,google_places
Stray Cat Alliance,"3612 11th Ave, Los Angeles, CA 90018, United States",https://straycatalliance.org/,(310) 363-0755,Animal Care And Services,Animal Shelter,google_places
Lange Foundation,"2106 S Sepulveda Blvd, Los Angeles, CA 90025, United States",https://www.langefoundation.org/,(310) 473-5585,Animal Care And Services,Animal Shelter,google_places
Hawthorne Animal Control,"4455 W 126th St, Hawthorne, CA 90250, United States",https://www.cityofhawthorne.org/departments/animal-control,(310) 349-2948,Animal Care And Services,Animal Shelter,google_places
Wags & Walks Adoption Center,"2238 Federal Ave, Los Angeles, CA 90064, United States",http://www.wagsandwalks.org/,(866) 588-9247,Animal Care And Services,Animal Shelter,google_places
Humane World for Animals - Pets for Life,"2940 1st St, Los Angeles, CA 90033, United States",http://humaneworld.org/,,Animal Care And Services,Animal Shelter,google_places
PETA,"2154 W Sunset Blvd, Los Angeles, CA 90026, United States",http://www.peta.org/,(323) 644-7382,Animal Care And Services,Pet Training,google_places
Dawg Squad,"11209 National Blvd #246, Los Angeles, CA 90064, United States",http://www.dawgsquad.org/,(310) 674-0477,Animal Care And Services,Pet Boarding and Pet Sitting,google_places
Santé D'Or,"3165 Los Feliz Blvd, Los Angeles, CA 90039, United States",http://www.santedor.org/,(323) 898-8889,Animal Care And Services,Animal Shelter,google_places
"Perry's Place, Heaven on Earth Adoption Center","7342 Fulton Ave, North Hollywood, CA 91605, United States",http://www.heavenlypets.org/,(818) 474-2700,Animal Care And Services,Animal Shelter,google_places
PetRadar: Lost Cat & Missing Cat Search Los Angeles,"5922 Benner St Apt 3, Los Angeles, CA 90042, United States",https://www.petradar.org/en/lost-cats/us/los%20angeles,,Animal Care And Services,Pet Sitting,google_places
Miami-Dade Animal Services Pet Adoption & Protection Center,"3599 NW 79th Ave, Doral, FL 33122, United States",http://www.miamidade.gov/animals/,(305) 884-1101,Animal Care And Services,Animal Shelter,google_places
La Habra Animal Control,"150 N Euclid St, La Habra, CA 90631, United States",https://www.lahabraca.gov/240/Animal-Control,(562) 383-4352,Animal Care And Services,Animal Shelter,google_places
Palmdale Animal Care Center,"38550 Sierra Hwy, Palmdale, CA 93550, United States",https://animalcare.lacounty.gov/,(661) 575-2888,Animal Care And Services,Animal Shelter,google_places
Simi Valley Animal Shelter (VCAS),"670 W Los Angeles Ave, Simi Valley, CA 93065, United States",https://animalservices.venturacounty.gov/,(805) 388-4341,Animal Care And Services,Animal Shelter,google_places
Inland Valley Humane Society and S.P.C.A.,"500 Humane Way, Pomona, CA 91766, United States",https://www.ivhsspca.org/,(909) 623-9777,Animal Care And Services,Animal Shelter,google_places
spcaLA P.D. Pitchford Companion Animal Village and Education Center,"7700 E Spring St, Long Beach, CA 90815, United States",https://spcala.com/locations/,(562) 216-2542,Animal Care And Services,Animal Shelter,google_places
Agoura Animal Care Center,"29525 Agoura Rd, Agoura Hills, CA 91301, United States",http://animalcare.lacounty.gov/,(818) 991-0071,Animal Care And Services,Animal Shelter,google_places
Mercy For Animals,"8033 W Sunset Blvd Ste 864, Los Angeles, CA 90046, United States",http://mercyforanimals.org/,(866) 632-6446,Animal Care And Services,Animal Shelter,google_places
Fur Baby Rescue,"3030 S Hill St, Los Angeles, CA 90007, United States",http://www.furbabyrescue.org/,(213) 840-0153,Animal Care And Services,Animal Shelter,google_places
Second Acts Animal Rescue,"2708 Foothill Blvd Suite 161, La Crescenta-Montrose, CA 91214, United States",http://www.secondacts.org/,(818) 275-4686,Animal Care And Services,Animal Shelter,google_places
bullbreeeder,"Beverly Hills Drive, Whittier, Los Angeles, CA 90210, United States",,,Animal Care And Services,Pet breeding,google_places
Pet Orphans of Southern California,"7720 Gloria Ave, Van Nuys, CA 91406, United States",http://petorphans.org/,(818) 901-0190,Animal Care And Services,Animal Shelter,google_places
Vanderpump Dogs,"8134 W 3rd St, Los Angeles, CA 90048, United States",http://www.vanderpumpdogs.org/,(323) 852-3647,Animal Care And Services,Pet grooming,google_places
Beverlywood Control,"8700 Venice Blvd. #104, Los Angeles, CA 90034, United States",,(310) 839-2656,Animal Care And Services,Pet Boarding and Pet Sitting,google_places
