name,address,website,phone number,business group,matched business type,source
21Pooch Dog & Cat grooming salon,"1061 S Broadway, Los Angeles, CA 90015, United States",https://www.21pooch.com/,(213) 589-8304,Food And Beverage Establishments,Pet grooming,google_places
21Pooch Hollywood,"5137 W Sunset Blvd Unit 213, 2nd floor, Los Angeles, CA 90027, United States",https://www.21pooch.com/,(310) 290-3905,Food And Beverage Establishments,Pet grooming,google_places
Groom - Dog Care With Love,"8749 Holloway Dr, West Hollywood, CA 90069, United States",https://groomla.com/,(310) 492-5222,Food And Beverage Establishments,Pet grooming,google_places
Alessandro Pet Spa,"7221 Melrose Ave, Los Angeles, CA 90046, United States",https://www.alessandropetspa.com/,(323) 644-4946,Food And Beverage Establishments,Pet grooming,google_places
Bubbles Dog Grooming,"4511 Beverly Blvd, Los Angeles, CA 90004, United States",,(213) 736-0068,Food And Beverage Establishments,Pet grooming,google_places
Los Angeles Pet Grooming,"6022 Santa Fe Ave, Huntington Park, CA 90255, United States",https://www.instagram.com/losangelespetgrooming/,(323) 818-6741,Food And Beverage Establishments,Pet grooming,google_places
Bubble Pup Salon,"333 S Alameda St STE 201, Los Angeles, CA 90013, United States",http://www.bubblepupsalon.com/,(213) 558-9355,Food And Beverage Establishments,Flower Shop,google_places
Pour La Pooch,"7617 Beverly Blvd, Los Angeles, CA 90036, United States",http://pourlapooch.com/,(323) 934-0940,Food And Beverage Establishments,Pet grooming,google_places
Alex The Happy Dog,"5011 San Vicente Blvd, Los Angeles, CA 90019, United States",,(323) 933-9708,Food And Beverage Establishments,Pet grooming,google_places
Pet Purrspective,"5834 Santa Monica Blvd, Los Angeles, CA 90038, United States",http://www.petpurrspective.com/,(323) 600-5913,Food And Beverage Establishments,Pet training,google_places
Tofu Mom Pet Grooming,"4003 W Olympic Blvd, Los Angeles, CA 90019, United States",,(323) 578-3181,Food And Beverage Establishments,Pet grooming,google_places
Wag n' Swag,"608 N Hoover St, Los Angeles, CA 90004, United States",https://www.wagnswaggrooming.com/?fbclid=PAZXh0bgNhZW0CMTEAAabu939-UBsVpaou6rcwkhQaLUHCUsgTF3-N21m3oqC30J7StqlmBRSQ58M_aem_U2ilWEBXSr-zbMCRNfceDA,(323) 522-3600,Food And Beverage Establishments,Pet grooming,google_places
Moon Shine Grooming & Pet Wash,"4473 Santa Monica Blvd, Los Angeles, CA 90029, United States",https://www.theurbanpet.net/self-wash-pods-and-full-service-grooming-at-moonshine-grooming/,(323) 664-4600,Food And Beverage Establishments,Pet grooming,google_places
Dogue Spa - The Coolest Dog Grooming Salon,"8278 Santa Monica Blvd, West Hollywood, CA 90046, United States",http://www.doguespa.com/,(424) 303-2027,Food And Beverage Establishments,Pet grooming,google_places
Pet Wash,"7357 W Sunset Blvd, Los Angeles, CA 90046, United States",http://www.hollywoodpetwash.com/,(323) 882-6855,Food And Beverage Establishments,Pet grooming,google_places
Puppy Love Pet Spa,"1608 Colorado Blvd, Los Angeles, CA 90041, United States",https://puppylovepet.top/,(323) 256-2000,Food And Beverage Establishments,Pet training,google_places
Bowie Barker West Hollywood,"7609 Beverly Blvd, Los Angeles, CA 90036, United States",http://www.bowiebarker.com/,(323) 372-0622,Food And Beverage Establishments,Restaurant non quick service,google_places
PAW LA LA,"1521 S Vermont Ave, Los Angeles, CA 90006, United States",http://www.pawlalaclub.com/,(213) 738-7297,Food And Beverage Establishments,Pet grooming,google_places
Melrose Pet Grooming,"5770 Melrose Ave Children's Reading, Los Angeles, CA 90038, United States",http://www.melrosegrooming.com/,(323) 993-1959,Food And Beverage Establishments,Pet grooming,google_places
PUPPY STORY GROOMING,"987 Vermont Ave unit a, Los Angeles, CA 90006, United States",,(213) 480-0099,Food And Beverage Establishments,Pet grooming,google_places
DEBBIE'S GROOMING,"5277 W Olympic Blvd, Los Angeles, CA 90036, United States",,(213) 292-7099,Food And Beverage Establishments,Pet grooming,google_places
Doggy Fresh Grooming,"5420 W Adams Blvd, Los Angeles, CA 90016, United States",http://www.doggyfreshgrooming.com/,(323) 424-3487,Food And Beverage Establishments,Pet grooming,google_places
MFD Grooming & Wellness,"741 N Stanley Ave, Los Angeles, CA 90046, United States",https://www.mfdgroomingandwellness.com/,(323) 952-6466,Food And Beverage Establishments,Pet grooming,google_places
Angie's Pooch Pawlor,"6709 Selma Ave, Hollywood, CA 90028, United States",https://dogpawlor.top/,(323) 645-7475,Food And Beverage Establishments,Pet grooming,google_places
Lovely Nose Pet Grooming,"4209 W Washington Blvd, Los Angeles, CA 90016, United States",https://lovelynosegrooming.top/,(323) 402-0440,Food And Beverage Establishments,Pet grooming,google_places
Doggie Land Pet Services,"3708 N Figueroa St, Los Angeles, CA 90065, United States",https://doggielandpetservices.com/,(323) 352-8328,Food And Beverage Establishments,Pet training,google_places
Andy's Pet Grooming Eagle Rock,"1741 Colorado Blvd, Los Angeles, CA 90041, United States",https://andyspetgroomingca.com/,(323) 675-1110,Food And Beverage Establishments,Pet grooming,google_places
"Bobos Pet Grooming, DayCare & Boutique","2553 W Olympic Blvd, Los Angeles, CA 90006, United States",,(213) 909-1785,Food And Beverage Establishments,Pet grooming,google_places
The Fur Palace,"7574 Melrose Ave, Los Angeles, CA 90046, United States",https://furpalaceweho.com/,(323) 424-3133,Food And Beverage Establishments,Pet grooming,google_places
Blue Pooch Dog Grooming,"11737 W Pico Blvd, Los Angeles, CA 90064, United States",http://www.bluepooch.com/,(310) 473-4173,Food And Beverage Establishments,Pet grooming,google_places
House Call Dog Grooming Service - Dogs For Love,"6201 Hollywood Blvd, Los Angeles, CA 90028, United States",https://www.dogsforlovegrooming.com/,(917) 392-6004,Food And Beverage Establishments,Pet grooming,google_places
Sasha pet salon,"625 S Berendo St Unit #7, Los Angeles, CA 90005, United States",,(213) 700-7744,Food And Beverage Establishments,Pet grooming,google_places
Tailwaggers & Tailwashers Larchmont Village,"147 N Larchmont Blvd, Los Angeles, CA 90004, United States",https://www.tailwaggerspets.com/,(323) 464-9600,Food And Beverage Establishments,Pet grooming,google_places
Collar & Comb | Hancock Park,"343 N La Brea Ave, Los Angeles, CA 90036, United States",https://collarandcomb.dog/,(323) 688-2275,Food And Beverage Establishments,Pet grooming,google_places
PetJoy in LA,"5277 W Olympic Blvd, Los Angeles, CA 90036, United States",,(323) 954-9800,Food And Beverage Establishments,Pet training,google_places
Olympic Pet Shop,"2927 W Olympic Blvd, Los Angeles, CA 90006, United States",http://beametier.com/,(213) 385-3355,Food And Beverage Establishments,Pet training,google_places
Puppy Prom,"8212 W 3rd St, Los Angeles, CA 90048, United States",https://www.puppyprom.com/,(323) 317-4971,Food And Beverage Establishments,Pet grooming,google_places
Snout Studios - Pet Care & Grooming Suites,"1640 W Temple St, Los Angeles, CA 90026, United States",https://www.snoutstudios.co/,(562) 472-3749,Food And Beverage Establishments,Pet grooming,google_places
Pawgo Mobile Grooming Los Angeles,"977 Calzona St, Los Angeles, CA 90023, United States",https://app.pawgo.com/charliesgroomingspa,(213) 463-6896,Food And Beverage Establishments,Pet grooming,google_places
LA Pets Grooming,"1155 S Diamond Bar Blvd ste G, Diamond Bar, CA 91765, United States",https://shidog.com/explore/la-pets-grooming/,(909) 536-8577,Food And Beverage Establishments,Pet grooming,google_places
Mung Pet Shop,"184 S Western Ave, Los Angeles, CA 90004, United States",,(213) 382-8811,Food And Beverage Establishments,Pet grooming,google_places
Collar & Comb,"7813 W Sunset Blvd, Los Angeles, CA 90046, United States",https://collarandcomb.dog/,(323) 688-2275,Food And Beverage Establishments,Pet grooming,google_places
Dogromat,"4148 Lincoln Blvd, Marina Del Rey, CA 90292, United States",http://www.dogromat.com/,(310) 306-8885,Food And Beverage Establishments,Pet training,google_places
코코애견미용 cocogrooming,"4155 5th St, Los Angeles, CA 90020, United States",,(213) 388-1700,Food And Beverage Establishments,Pet grooming,google_places
Dragon in Gaecheon Pet Grooming,"2825 W 8th St #101, Los Angeles, CA 90005, United States",http://dragonpetgrooming.com/,(323) 449-4881,Food And Beverage Establishments,Pet grooming,google_places
Calis Pet Grooming,"7708 S Broadway, Los Angeles, CA 90003, United States",,(323) 677-1518,Food And Beverage Establishments,Pet grooming,google_places
Bark Woof Dog Grooming 애견 미용 LA,"4407 W 2nd St, Los Angeles, CA 90004, United States",,(213) 700-6122,Food And Beverage Establishments,Pet grooming,google_places
Happy Tails,"4579 York Blvd, Los Angeles, CA 90041, United States",,(323) 257-8832,Food And Beverage Establishments,Pet grooming,google_places
Lucky Dog Grooming Co,"2326 Cotner Ave, Los Angeles, CA 90064, United States",https://luckydoggroomingla.com/,(310) 479-5552,Food And Beverage Establishments,Pet grooming,google_places
Ortega's Pet Mobile Grooming,"1814 S Longwood Ave, Los Angeles, CA 90019, United States",,,Food And Beverage Establishments,Pet grooming,google_places
Best Paws Grooming,"5959 San Pedro St, Los Angeles, CA 90003, United States",,(323) 991-4102,Food And Beverage Establishments,Pet grooming,google_places
