name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
Puppy Love Pet Spa,"1608 Colorado Blvd, Los Angeles, CA 90041, United States",https://puppylovepet.top/,Food And Beverage Establishments,Pet training,,,none
Bowie Barker West Hollywood,"7609 Beverly Blvd, Los Angeles, CA 90036, United States",http://www.bowiebarker.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Blue Pooch Dog Grooming,"11737 W Pico Blvd, Los Angeles, CA 90064, United States",http://www.bluepooch.com/,Food And Beverage Establishments,Pet grooming,,,none
Wag Hotels - Hollywood,"960 Highland Ave, Los Angeles, CA 90038, United States",https://www.waghotels.com/hollywood/?utm_source=local&utm_medium=organic&utm_campaign=hollywood,Food And Beverage Establishments,Hotels and Lodging,,,none
PUPPY STORY GROOMING,"987 Vermont Ave unit a, Los Angeles, CA 90006, United States",,Food And Beverage Establishments,Pet grooming,,,none
Los Angeles Pet Grooming,"6022 Santa Fe Ave, Huntington Park, CA 90255, United States",https://www.instagram.com/losangelespetgrooming/,Food And Beverage Establishments,Pet grooming,,,none
CALIFORNIA GROOMIN' - Culver City Groomer,"4255 Overland Ave, Culver City, CA 90230, United States",,Food And Beverage Establishments,Pet grooming,,,none
Groom - Dog Care With Love,"8749 Holloway Dr, West Hollywood, CA 90069, United States",https://groomla.com/,Food And Beverage Establishments,Pet grooming,,,none
Puppy Prom,"8212 W 3rd St, Los Angeles, CA 90048, United States",https://www.puppyprom.com/,Food And Beverage Establishments,Pet grooming,,,none
The Fur Palace,"7574 Melrose Ave, Los Angeles, CA 90046, United States",https://furpalaceweho.com/,Food And Beverage Establishments,Pet grooming,,,none
LA Dogworks,"1014 Highland Ave, Los Angeles, CA 90038, United States",http://ladogworks.com/,Food And Beverage Establishments,Pet training,,,none
Alessandro Pet Spa,"7221 Melrose Ave, Los Angeles, CA 90046, United States",https://www.alessandropetspa.com/,Food And Beverage Establishments,Pet grooming,,,none
Henley Style Pet Grooming & Spa,"213 S Robertson Blvd, Beverly Hills, CA 90211, United States",http://www.henleystyle.com/,Food And Beverage Establishments,Pet grooming,,,none
Petco Grooming,"200 S La Brea Ave ste c, Los Angeles, CA 90036, United States",https://stores.petco.com/ca/losangeles/full-service-grooming-losangeles-ca-908.html,Food And Beverage Establishments,Pet grooming,,,none
Bubble Pup Salon,"333 S Alameda St STE 201, Los Angeles, CA 90013, United States",http://www.bubblepupsalon.com/,Food And Beverage Establishments,Flower Shop,,,none
Dogue Spa - The Coolest Dog Grooming Salon,"8278 Santa Monica Blvd, West Hollywood, CA 90046, United States",http://www.doguespa.com/,Food And Beverage Establishments,Pet grooming,,,none
Alex Grooming (Martinez’s Grooming),"5421 Santa Monica Blvd suite d, Los Angeles, CA 90029, United States",,Food And Beverage Establishments,Pet grooming,,,none
