name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
Perch,"448 S Hill St, Los Angeles, CA 90013, United States",http://perchla.com/,Food And Beverage Establishments,Fishmonger,,,none
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, United States",http://www.republiquela.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Oste,"8142 W 3rd St, Los Angeles, CA 90048, United States",http://ostelosangeles.com/,Food And Beverage Establishments,Butcher,,,none
The Little Door,"8164 W 3rd St, Los Angeles, CA 90048, United States",https://thelittledoor.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021, United States",http://www.bestiala.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Girl & the Goat Los Angeles,"555-3 Mateo St, Los Angeles, CA 90013, United States",http://girlandthegoat.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071, United States",https://www.71above.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Providence,"5955 Melrose Ave, Los Angeles, CA 90038, United States",https://providencela.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Redbird,"114 E 2nd St, Los Angeles, CA 90012, United States",http://www.redbird.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
JOEY DTLA,"700 W 7th St Ste S430, Los Angeles, CA 90017, United States",https://joeyrestaurants.com/location/joey-dtla,Food And Beverage Establishments,Restaurant non quick service,,,none
Le Petit Paris,"418 S Spring St, Los Angeles, CA 90013, United States",http://www.lepetitparisla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Joyce,"770 S Grand Ave A, Los Angeles, CA 90017, United States",https://www.joycela.com/,Food And Beverage Establishments,"Joyce best matches the option of ""Food Prep.""",,,none
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, United States",http://www.chispacca.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Maccheroni Republic,"332 S Broadway, Los Angeles, CA 90013, United States",http://www.maccheronirepublic.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Holbox,"3655 S Grand Ave c9, Los Angeles, CA 90007, United States",http://www.holboxla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
The Factory Kitchen,"1300 Factory Pl, Los Angeles, CA 90013, United States",https://thefactorykitchen.com/,Food And Beverage Establishments,Kitchen Staff,,,none
Philippe The Original,"1001 N Alameda St, Los Angeles, CA 90012, United States",https://www.philippes.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Fleming’s Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015, United States",https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Food And Beverage Establishments,Wine sommelier,,,none
Water Grill,"544 S Grand Ave, Los Angeles, CA 90071, United States",https://www.watergrill.com/la,Food And Beverage Establishments,Catering,,,none
Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, United States",http://www.ilovemole.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
DAMA Fashion District - Downtown LA Restaurant & Bar,"612 E 11th St, Los Angeles, CA 90015, United States",https://damafashiondistrict.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Majordomo,"1725 Naud St, Los Angeles, CA 90012, United States",http://www.majordomo.la/,Food And Beverage Establishments,Restaurant non quick service,,,none
Bavel,"500 Mateo St #102, Los Angeles, CA 90013, United States",https://baveldtla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Cabra Los Angeles,"1060 S Broadway, Los Angeles, CA 90015, United States",https://cabralosangeles.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Damian,"2132 E 7th Pl, Los Angeles, CA 90021, United States",http://www.damiandtla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Orsa & Winston,"FARMERS AND MERCHANTS BANK BUILDING, 122 4th St, Los Angeles, CA 90013, United States",http://orsaandwinston.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
BADMAASH Downtown LA,"108 W 2nd St APT 104, Los Angeles, CA 90012, United States",http://www.badmaashla.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
Little Beast Restaurant,"1496 Colorado Blvd, Los Angeles, CA 90041, United States",http://www.littlebeastrestaurant.com/,Food And Beverage Establishments,Restaurant non quick service,,,none
