name,address,website,business group,matched business type,Skill IDs,Skill Names,Skill Source
Allied International Security Guards Company,"3333 Wilshire Blvd Suite#900-10, Los Angeles, CA 90010, United States",http://alliedintsecurity.com/,Security,Security Services,,,none
"All Nation Security Services, Inc.","3701 Wilshire Blvd Ste 530, Los Angeles, CA 90010, United States",http://www.allnationsecurity.com/,Security,Security Services,,,none
Bannerman Security Los Angeles,"1933 S Broadway #1107l, Los Angeles, CA 90007, United States",https://www.bannerman.com/city/los-angeles-security-services,Security,Security Services,,,none
Prestige Security Services Inc,"5721 W Slauson Ave UNIT 120, Culver City, CA 90230, United States",https://www.prestigesecurity.com/,Security,Security Services,,,none
Pentagon Executive Protection | Bodyguard Services LA,"11500 W Olympic Blvd #400, Los Angeles, CA 90064, United States",https://pentagon-us.com/,Security,Security Services,,,none
Unified Protective Services,"4431 Rosecrans Ave STE 200, Hawthorne, CA 90250, United States",http://unifiedprotectiveservices.com/,Security,Security Services,,,none
CODE 4 PRIVATE SECURITY,"10907 Downey Ave UNIT 202, Downey, CA 90241, United States",http://www.allcode4.com/quote,Security,Security Services,,,none
United Security Services - Armed/Unarmed Security Guard Services Los Angeles,"515 Flower St Suite 1900, Los Angeles, CA 90071, United States",http://www.unitedweguard.com/los-angeles-security-services/,Security,Security Services,,,none
"Luna's Security Training Academy, LLC","5255 S Broadway, Los Angeles, CA 90037, United States",https://www.lunastraining.com/,Security,Security Services,,,none
Eagle Eye Pro: The best security Guard Company in Los Angeles,"117 W 9th St #910, Los Angeles, CA 90015, United States",http://eagleeyepro.com/,Security,Security Services,,,none
AEGIS Security & Investigations,"10866 Washington Blvd #309, Culver City, CA 90232, United States",http://www.aegis.com/,Security,Security Services,,,none
American Security Force Inc.,"5430 E Olympic Blvd, Commerce, CA 90022, United States",https://www.americansecurityforce.com/,Security,Security Services,,,none
Onguard Security Guard Services Los Angeles,"1001 Wilshire Blvd #1001, Los Angeles, CA 90017, United States",https://securityguardca.com/service-areas/los-angeles/,Security,Security Services,,,none
"Safety Zone Security, Inc.","24328 S Vermont Ave # 302, Harbor City, CA 90710, United States",https://safetyzone.us/,Security,Security Services,,,none
Superior Protection Services | Security Guard Services Los Angeles,"5800 S Eastern Ave #310, Commerce, CA 90040, United States",https://superiorprotect.com/,Security,Security Services,,,none
Los Angeles Security Guards XPressGuards,"3415 S Sepulveda Blvd #1100, Los Angeles, CA 90034, United States",https://xpressguards.com/,Security,Security Services,,,none
Reel Security Corp.,"15303 Ventura Blvd suite 1080, Sherman Oaks, CA 91403, United States",http://www.reelsecurity.com/,Security,Security Services,,,none
Veritas Security Services,"2202 S Figueroa St #525, Los Angeles, CA 90007, United States",http://veritassecurityservices.com/,Security,Security Services,,,none
Spear Security,"1642 N Cahuenga Blvd, Los Angeles, CA 90028, United States",http://www.spearsecurity.com/,Security,Security Services,,,none
Security Guard Armed/Unarmed Security Guard Services Los Angeles,"1819 W 6th St #106, Los Angeles, CA 90057, United States",http://www.segprotective.com/,Security,Security Services,,,none
Security Base Group - Armed/Unarmed Security Guard Company Los Angeles,"700 Flower St Suite 1000, Los Angeles, CA 90017, United States",https://www.securitybasegroup.com/,Security,Security Services,,,none
Adactum Security Guards,"5757 W Century Blvd #650-P, Los Angeles, CA 90045, United States",https://adactumsecurityguards.com/,Security,Security Services,,,none
Marksman Security Corporation,"1800 Vine St Suite 100, Los Angeles, CA 90028, United States",https://www.marksmansecurity.com/locations/los-angeles/,Security,Security Services,,,none
Dinasty Security,"3001 Sierra Pine Ave, Vernon, CA 90058, United States",http://www.dinastysecurity.com/,Security,Security Services,,,none
Assertive Security Guard Private Patrol Services Los Angeles,"20525 Nordhoff St #116, Chatsworth, CA 91311, United States",https://assertivesecurityservices.com/,Security,Security Services,,,none
Ultimate Security Services INC,"5250 W Century Blvd #502, Los Angeles, CA 90045, United States",http://ultimatesecurityservice.com/,Security,Security Services,,,none
Security Guards Los Angeles - Direct Guard Services,"355 S Grand Ave Ste 2450, Los Angeles, CA 90071, United States",https://www.directguardservices.com/,Security,Security Services,,,none
"American Global Security, Inc.","9410 Topanga Canyon Blvd, Los Angeles, CA 91311, United States",http://americanglobalsecurity.com/,Security,Security Services,,,none
Career Group,"10100 CA-2 suite 900, Los Angeles, CA 90067, United States",https://careergroupcompanies.com/career-group/?utm_source=google&utm_medium=organic&utm_campaign=gmb_website,Security,Career Group best matches Security Services.,,,none
Securitas Security Services USA,"1055 Wilshire Blvd #1600, Los Angeles, CA 90017, United States",https://www.securitasinc.com/Contact-Us/California/Los-Angeles-Mid-Wilshire/,Security,Security Services,,,none
"Excalibur Security, Inc.","6210 Wilshire Blvd #211, Los Angeles, CA 90048, United States",http://www.excalibur-security.com/,Security,Security Services,,,none
Owl Sight Security Services | Security Guard Company,"18645 Sherman Way # 105, Reseda, CA 91335, United States",http://owlsightsecurity.com/,Security,Security Services,,,none
Prudent Security Solutions Inc.,"5564 Sepulveda Blvd, Culver City, CA 90230, United States",http://prudentsecurityfirst.com/,Security,Security Services,,,none
"Onguard Inc - Security Guard Services, Security Guard Company","21133 Victory Blvd Ste 214, Canoga Park, CA 91303, United States",https://securityguardca.com/,Security,Security Services,,,none
"Guardian Eagle Security, Inc.","11500 W Olympic Blvd #400, Los Angeles, CA 90064, United States",http://www.ges.net/,Security,Security Services,,,none
Command International Security Services,"6819 Sepulveda Blvd #102, Van Nuys, CA 91405, United States",http://www.commandinternationalsecurity.com/,Security,Security Services,,,none
Royal Security Training Academy,"1065 S Broadway, Los Angeles, CA 90015, United States",,Security,Security Services,,,none
"RMI International, Inc","8125 Somerset Blvd, Paramount, CA 90723, United States",https://rmiintl.com/,Security,Security Services,,,none
Davis Security Training Center,"649 E El Segundo Blvd, Los Angeles, CA 90059, United States",https://www.davisecurity.com/,Security,Security Services,,,none
Phoenix Prime Security,"925 N La Brea Ave Suite #400, West Hollywood, CA 90038, United States",http://www.phoenixprimesecurity.com/,Security,Security Services,,,none
Golden West Security,"12502 Van Nuys Blvd Ste #215, Pacoima, CA 91331, United States",https://goldenwestsecurityinc.com/,Security,Security Services,,,none
"Scorpion Services, Inc.","3255 Cahuenga Blvd W # 200, Hollywood, CA 90068, United States",https://scorpionsi.com/,Security,Security Services,,,none
L.J Bragg Security Training,"4830 Crenshaw Blvd, Los Angeles, CA 90043, United States",,Security,Security Services,,,none
Instaguard Security Services,"14429 Ventura Blvd #111, Sherman Oaks, CA 91423, United States",http://instaguardinc.com/,Security,Security Services,,,none
California Panther Security,"5777 W Century Blvd #1601, Los Angeles, CA 90045, United States",http://capanther.com/,Security,Security Services,,,none
Marksman Security Corporation,"201 Continental Blvd Suite 250, El Segundo, CA 90245, United States",http://www.marksmansecurity.com/,Security,Security Services,,,none
"Professional Security Guard, Inc - Top Security Guard Company","21220 Devonshire St #204, Chatsworth, CA 91311, United States",https://prosecurityguard.com/,Security,Security Services,,,none
Green Knight Security,"3655 Torrance Blvd 3rd floor, Torrance, CA 90503, United States",http://www.greenknightsecurity.com/,Security,Security Services,,,none
Guard-Systems Inc,"1190 Monterey Pass Rd, Monterey Park, CA 91754, United States",http://guardsystemsinc.com/,Security,Security Services,,,none
SecureLion Security - Woodland Hills Security Guard Services,"22820 MacFarlane Dr, Los Angeles, CA 91364, United States",https://www.securelionsecurity.com/security-guard-services-woodland-hills/,Security,Security Services,,,none
Protective Shield Security,"3435 Wilshire Blvd # 2360, Los Angeles, CA 90010, United States",http://www.protectiveshieldsecurity.com/,Security,Security Services,,,none
HillQuest Security & Patrol,"8383 Wilshire Blvd #800, Beverly Hills, CA 90211, United States",https://hillquestsecurity.com/,Security,Security Services,,,none
Treston Security Services,"9836 Atlantic Ave, South Gate, CA 90280, United States",http://www.trestonsecurity.com/,Security,Security Services,,,none
"Allied Nationwide Security,Inc.","7116 Valjean Ave, Van Nuys, CA 91406, United States",https://www.alliednationwide.com/,Security,Security Services,,,none
Centurion Group,"11454 San Vicente Blvd, Los Angeles, CA 90049, United States",http://www.tcgla.com/,Security,Security Services,,,none
"Securitech Security Services, Co","2733 N San Fernando Rd, Los Angeles, CA 90065, United States",https://www.securitechguards.com/,Security,Security Services,,,none
Public Safety Institute,"6400 E Washington Blvd, Commerce, CA 90040, United States",http://www.publicsafetyinstitute.us/,Security,Security Services,,,none
"Global Security Concepts, Inc","7250 Beverly Blvd # 208, Los Angeles, CA 90036, United States",http://www.gscsecurity.com/,Security,Security Services,,,none
Premiere Security Group,"11610 W Olympic Blvd, Los Angeles, CA 90064, United States",http://www.premieresecuritygroup.com/,Security,Security Services,,,none
"Overton Security Services, Inc.","5701 Slauson Ave #116, Culver City, CA 90230, United States",http://www.overtonsecurity.com/,Security,Security Services,,,none
Allied Universal® Security Services,"700 Flower St Suite 400 Suite 1550, Los Angeles, CA 90017, United States",https://www.aus.com/los-angeles-security-services-systems?utm_source=gmb&utm_medium=organic,Security,Security Services,,,none
"Security Guards of America, Inc","9301 Oakdale Ave STE. 100, Chatsworth, CA 91311, United States",http://www.securityguardsofamerica.com/,Security,Security Services,,,none
Aable Security,"6404 Wilshire Blvd #900, Los Angeles, CA 90048, United States",https://www.aablesecurity.com/,Security,Security Services,,,none
The Bodyguard Group of Beverly Hills,"9171 Wilshire Blvd Suite 500, Beverly Hills, CA 90210, United States",https://www.thebodyguardgroup.com/,Security,Security Services,,,none
ACS Home Security - Business Security Systems & Security Guard Services,"100 Bel Air Rd, Los Angeles, CA 90077, United States",http://www.acssecurity.com/,Security,Security Services,,,none
Allied Multinational Security Guards Company,"221 S Sunset Pl, Monrovia, CA 91016, United States",https://alliedmnsecurity.com/,Security,Security Services,,,none
BSIS Guard Card Training,"1605 W Olympic Blvd Suite 850 8th floor, Los Angeles, CA 90015, United States",https://bsisguardcardtraining.com/,Security,Security Services,,,none
"Diamond Security Services, Inc.","14717 Hawthorne Blvd C, Lawndale, CA 90260, United States",https://diamondsecurityservice.com/,Security,Security Services,,,none
Spencer4hire Security Guards,"9009 S La Cienega Blvd A, Inglewood, CA 90301, United States",,Security,Security Services,,,none
"American Express Security Services, Inc","3407 W 6th St Suite 401, Los Angeles, CA 90020, United States",https://www.amexsecurityservices.com/,Security,Security Services,,,none
Blackstone Consulting Inc,"11726 San Vicente Blvd # 550, Los Angeles, CA 90049, United States",https://www.blackstone-consulting.com/,Security,Security Services,,,none
"Cobalt Security Services, Inc.","3075 Thousand Oaks Blvd #23, Westlake Village, CA 91362, United States",http://cobaltsecurityservices.com/,Security,Security Services,,,none
Ring Security Agency,"1600 W Slauson Ave, Los Angeles, CA 90047, United States",,Security,Security Services,,,none
Sectran Security Inc,"7633 Industry Ave, Pico Rivera, CA 90660, United States",https://www.sectransecurity.com/careers.asp,Security,Security Services,,,none
FORCE PROTECTION AGENCY,"9100 Wilshire Blvd #515E, Beverly Hills, CA 90212, United States",https://forceprotectionagency.com/,Security,Security Services,,,none
Cornerstone Protective Services,"1327 Crenshaw Blvd, Torrance, CA 90501, United States",http://www.cornerstoneprotectiveservices.com/,Security,Security Services,,,none
