Company Name,Company Address,Company Website,HR Email,Company Careers Page,Company Products/Services Page,Instagram,Facebook,X,Best Email,Better Email,Excluded Email,Sales BEST,Sales BETTER,Sales EXCLUDE
The Little Door,"8164 W 3rd St, Los Angeles, CA 90048, USA",https://thelittledoor.com/,office@thelittledoor.com,,https://thelittledoor.com/menus,https://www.instagram.com/thelittledoorla,https://www.facebook.com/littledoor,,,office@thelittledoor.com,,,,
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017, USA",http://www.bottegalouie.com/,frontdesk@bottegalouie.com,http://www.bottegalouie.com/pages/careers,http://www.bottegalouie.com/pages/west-hollywood-updated; https://www.bottegalouie.com/collections/shop; http://www.bottegalouie.com/pages/about; https://www.bottegalouie.com/pages/information; http://www.bottegalouie.com/#main; https://www.bottegalouie.com/pages/mobile-app; https://www.bottegalouie.com#main; http://www.bottegalouie.com/; https://www.bottegalouie.com; http://www.bottegalouie.com/pages/information; http://www.bottegalouie.com/pages/contact; http://www.bottegalouie.com/pages/privacy; http://www.bottegalouie.com/pages/mobile-app,https://instagram.com/bottegalouie,https://www.facebook.com/BottegaLouie,https://twitter.com/BottegaLouie,,frontdesk@bottegalouie.com; info@bottegalouie.com,weho@bottegalouie.com; dtla@bottegalouie.com; guestservices@bottegalouie.com; sales@bottegalouie.com,,,
Water Grill,"544 S Grand Ave, Los Angeles, CA 90071, USA",https://www.watergrill.com/la,accessibility@kingsseafood.com,,https://www.watergrill.com/la#MENUS; https://www.watergrill.com/accessibility; https://www.watergrill.com/; https://www.watergrill.com/giftcards; https://www.watergrill.com/#LOCATIONS,https://www.instagram.com/watergrill,https://www.facebook.com/WaterGrillLosAngeles,,,accessibility@kingsseafood.com; jperaza@watergrill.com; santamonica@watergrill.com; kgosselin@kingsseafood.com; lsmith@watergrill.com; mpolard@kingsseafood.com; contactus@watergrill.com; jperaza@kingsseafood.com; oheld@watergrill.com; oheld@kingsseafood.com,dtla@watergrill.com,,,
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071, USA",https://www.71above.com/,,,,,,,,,,,,
Perch,"448 S Hill St, Los Angeles, CA 90013, USA",http://perchla.com/,hr@citrusmgt.com,,http://perchla.com/menu-brunch; http://perchla.com/menu-aperitif; http://perchla.com/perchevents; http://perchla.com/friday-lunch; http://perchla.com/menu-gallery; http://perchla.com/reservations,https://www.instagram.com/perchlosangeles/,https://www.facebook.com/perchlosangeles,https://twitter.com/i/flow/login?redirect_after_login=%2FPERCHLosAngeles,hr@citrusmgt.com,events@perchla.com; info@perchla.com; events@perchla.com,,,,
Girl & the Goat Los Angeles,"555-3 Mateo St, Los Angeles, CA 90013, USA",http://girlandthegoat.com/,info.la@girlandthegoat.com,,http://girlandthegoat.com/los-angeles/menu; http://girlandthegoat.com/chicago/menu,https://www.instagram.com/girlandthegoatla/,https://www.facebook.com/girlandthegoatla/,,,info.la@girlandthegoat.com; press@bokagrp.com; info@girlandthegoat.com; cbetancourt@bokagrp.com,,,,
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021, USA",http://www.bestiala.com/,press@bestiala.com,,https://bestiala.com/menu/#content; https://bestiala.com/menu/,https://www.instagram.com/bestiadtla/,https://www.facebook.com/BestiaDTLA/,,,press@bestiala.com; info@bestiala.com; events@bestiala.com,,,,
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, USA",http://www.republiquela.com/,events@bicyclettela.com,,https://republiquela.com/weekday-cafe-menu/; https://republiquela.com/2025/05/chefs-wild-mushroom-tasting-menu/; https://republiquela.com/book-an-event/,https://www.instagram.com/republiquerestaurantla/,,,,events@bicyclettela.com; events@republiquela.com; events@manzkecatering.com; info@republiquela.com,,,,
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, USA",http://www.chispacca.com/,reservations@mozza-la.com,http://www.chispacca.com/location/chi-spacca-los-angeles/; http://www.chispacca.com/team-member/joe-bastianich/; http://www.chispacca.com/cookbook/; http://www.chispacca.com/; http://www.chispacca.com/accessibility-statement/; http://www.chispacca.com/menus/; http://www.chispacca.com/about-us/; http://www.chispacca.com/upcoming-events/; http://www.chispacca.com/menus; http://www.chispacca.com/spacca-burgers/; http://www.chispacca.com/private-events-and-catering; http://www.chispacca.com/about-us/#main-content; http://www.chispacca.com/contact/; http://www.chispacca.com/#main-content; http://www.chispacca.com/private-events-and-catering/,http://www.chispacca.com/menus; http://www.chispacca.com/accessibility-statement/; http://www.chispacca.com/menus/,https://www.instagram.com/chispacca,https://www.facebook.com/chiSPACCA,https://twitter.com/chiSPACCA,,reservations@mozza-la.com; events@chispacca.com,,,,
Providence,"5955 Melrose Ave, Los Angeles, CA 90038, USA",https://providencela.com/,info@providencela.com,,,https://www.instagram.com/providencela/,https://facebook.com/providencela,https://www.relaischateaux.com/us/restaurant/providence-la/,,info@providencela.com; meghan@moderncurrencypr.com,,,,
Fleming’s Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015, USA",https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,compliance@bloominbrands.com,,https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles...; https://www.flemingssteakhouse.com/promotions; https://www.flemingssteakhouse.com; https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles...; https://www.flemingssteakhouse.com/menus/dinner; https://www.flemingssteakhouse.com/locations/ca/los-angeles; https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles...; https://www.flemingssteakhouse.com/menus; https://www.flemingssteakhouse.com/events-and-catering; https://www.flemingssteakhouse.com/menus/wines-and-cocktails; https://www.flemingssteakhouse.com/menus/bar; https://www.flemingssteakhouse.com/events-and-catering-menus; https://www.flemingssteakhouse.com/accessibility-statement; https://www.flemingssteakhouse.com/menus/lunch,https://www.instagram.com/flemingssteakhouse/,https://www.facebook.com/flemings/,,,compliance@bloominbrands.com,,,,
Redbird,"114 E 2nd St, Los Angeles, CA 90012, USA",http://www.redbird.la/,press@redbird.la,,http://www.redbird.la/menus?tab=happy-hour; http://www.redbird.la/menus?tab=dinner; http://www.redbird.la/menus?tab=cocktails-%26-beer; http://www.redbird.la/menus?tab=brunch; http://www.redbird.la/menus?tab=wine; http://www.redbird.la/menus?tab=dessert,https://www.instagram.com/redbirdla,https://www.facebook.com/redbirdla,https://x.com/redbirdla,,press@redbird.la; events@redbird.la; info@redbird.la,,,,
Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, USA",http://www.ilovemole.com/,jobs@ilovemole.com,,http://www.ilovemole.com/menu; http://www.ilovemole.com/privacy-policy; http://www.ilovemole.com/contact-us; http://www.ilovemole.com/joinourteam; https://store.ilovemole.com/; http://store.ilovemole.com/; http://www.ilovemole.com/catering; https://store.ilovemole.com,https://www.instagram.com/laguelaguetza/,https://www.facebook.com/TheGuelaguetza/,https://twitter.com/LaGuelaguetza,jobs@ilovemole.com,adela@ilovemole.com; press@ilovemole.com; info@ilovemole.com; events@ilovemole.com,sales@ilovemole.com,,,
Le Grand Restaurant,"707 S Grand Ave, Los Angeles, CA 90017, USA",https://www.legrand-restaurant.com/,dtla@legrand-restaurant.com,,,https://www.instagram.com/legrandrestaurants/,,,,,dtla@legrand-restaurant.com,,,
