title,address,website,emails,phone,location,categories,instagrams,facebooks,Company Website,Emails (BEST),Emails (BETTER),Emails (EXCLUDE),Career Page,Products/Services Page
Gladstones Restaurant,"17300 CA-1, Pacific Palisades, CA 90272, United States",http://www.gladstones.com/,['hello@gladstones.com'],+1 310-454-3474,"{'lat': 34.038365, 'lng': -118.556626}","['Seafood restaurant', 'Bar']",['https://www.instagram.com/gladstonesmalibu/'],['https://www.facebook.com/GladstonesMalibu/'],http://www.gladstones.com/,,hello@gladstones.com,,https://payroll.toasttab.com/Jobs/gladstones,http://www.gladstones.com/
Patrick's Roadhouse,"106 Entrada Dr, Santa Monica, CA 90402, United States",https://patricksroadhouse.info/,['filler@godaddy.com'],+1 310-459-4544,"{'lat': 34.0280153, 'lng': -118.5183308}","['Diner', 'Bar & grill', 'Bed & breakfast', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Coffee shop', 'Hamburger restaurant', 'Lunch restaurant', 'Restaurant']",['https://www.instagram.com/muziccoin'],['https://www.facebook.com/625171027338725'],https://patricksroadhouse.info/,,,,,
Domino's Pizza,"16605 W Sunset Blvd Ste 103 Ste 103, Pacific Palisades, CA 90272, United States",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,[],+1 310-454-1035,"{'lat': 34.0478401, 'lng': -118.5439772}","['Pizza delivery', 'Chicken wings restaurant', 'Pizza restaurant', 'Pizza takeaway']",[],[],https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,,,,,
Arth Bar & Kitchen - Indian Restaurant in Culver City,"9531 Culver Blvd, Culver City, CA 90232",http://www.arthla.com/,[],(424) 603-4155,"{'lat': 34.0232766, 'lng': -118.395398}",['Indian restaurant'],[],[],http://www.arthla.com/,,,,,
Pearl Dragon,"15229 W Sunset Blvd, Pacific Palisades, CA 90272, United States",https://www.thepearldragon.com/,[],+1 310-459-9790,"{'lat': 34.0467938, 'lng': -118.5246607}","['Asian restaurant', 'Bar', 'Eclectic restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Sushi restaurant']",['https://www.instagram.com/lazada_id/'],['https://www.facebook.com/LazadaIndonesia'],https://www.thepearldragon.com/,,,,,
Casa Nostra Trattoria on Sunset,"15306 W Sunset Blvd, Pacific Palisades, CA 90272, United States",http://www.casanostrala.com/,[],+1 424-581-4000,"{'lat': 34.0473399, 'lng': -118.5261651}","['Italian restaurant', 'Fine dining restaurant', 'Restaurant']",[],[],http://www.casanostrala.com/,,,,,
Palisades Garden Cafe,"15231 La Cruz Dr, Pacific Palisades, CA 90272",http://paligardencafe.com/,['palisadesgardencafe@gmail.com'],(310) 459-6160,"{'lat': 34.0457446, 'lng': -118.5250962}","['Restaurant', 'Cafe']",[],['https://www.facebook.com/Palisades'],http://paligardencafe.com/,,,,,
Fu's Palace Restaurant,"8751 W Pico Blvd, Los Angeles, CA 90035",http://www.fuspalaceonline.com/,[],(424) 688-6344,"{'lat': 34.05489, 'lng': -118.38281}",['Chinese restaurant'],[],[],http://www.fuspalaceonline.com/,,,,,
Juquila Restaurant,"11619 Santa Monica Blvd, Los Angeles, CA 90025",https://restaurantejuquila.com/,"['contact@restaurantejuquila.com', 'Contact@RestauranteJuquila.com']",(310) 312-1079,"{'lat': 34.0445822, 'lng': -118.4547303}","['Mexican restaurant', 'Bar', 'Burrito restaurant', 'Caterer', 'Family restaurant', 'Latin American restaurant', 'Oaxacan restaurant', 'Taco restaurant']",['https://www.instagram.com/juquila_restaurantwla/'],['http://facebook.com/progression'],https://restaurantejuquila.com/,,,,,
Venice Bakery & Restaurant,"10943 Venice Blvd., Los Angeles, CA 90034",http://www.venicebakeryandrestaurant.com/,['venice_bakery@yahoo.com'],(310) 839-3478,"{'lat': 34.0155345, 'lng': -118.413268}","['Mexican restaurant', 'Bakery', 'Breakfast restaurant', 'Brunch restaurant', 'Restaurant']",['https://www.instagram.com/venicebakery/'],['https://www.facebook.com/VeniceBakeryR/'],http://www.venicebakeryandrestaurant.com/,,,,,
Taco Bell,"17299 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States",https://locations.tacobell.com/ca/pacific-palisades/17299-pacific-coast-hwy.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=021122&utm_content=website&y_source=1_MTcyODMzOTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,[],+1 310-459-7645,"{'lat': 34.038964, 'lng': -118.554612}","['Tex-Mex restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Fast food restaurant', 'Lunch restaurant', 'Takeout restaurant', 'Mexican restaurant', 'Restaurant', 'Taco restaurant', 'Vegetarian restaurant']",[],[],https://locations.tacobell.com/ca/pacific-palisades/17299-pacific-coast-hwy.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=021122&utm_content=website&y_source=1_MTcyODMzOTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,
The Talpa Restaurant & Bar,"11751 W Pico Blvd, Los Angeles, CA 90064",https://thetalpa.com/,['thetalpainc@gmail.com'],(310) 478-3353,"{'lat': 34.0311998, 'lng': -118.4469398}",['Mexican restaurant'],['https://www.instagram.com/thetalparestaurant/'],['https://www.facebook.com/thetalpa/'],https://thetalpa.com/,,,,,
The Culver Hotel Bar & Restaurant,"9400 Culver Blvd, Culver City, CA 90232",https://www.culverhotel.com/downtown-culver-city-restaurants,"['dining@theculverhotel.com', 'info@theculverhotel.com', 'reservations@theculverhotel.com', 'sales@theculverhotel.com', 'events@theculverhotel.com', 'restaurant.inquiry@theculverhotel.com', 'media@theculverhotel.com', 'hr@theculverhotel.com', 'creative@theculverhotel.com', 'sales@culverhotel.com']",(310) 558-9400,"{'lat': 34.0239233, 'lng': -118.3940638}","['Restaurant', 'Bar', 'Live music venue', 'Modern European restaurant']",['https://www.instagram.com/culverhotel/'],['https://www.facebook.com/TheCulverHotel'],https://www.culverhotel.com/downtown-culver-city-restaurants,,,,,
Versailles Cuban Food - La Cienega Blvd,"1415 S La Cienega Blvd, Los Angeles, CA 90035",http://versaillescubanfood.com/,['info@versaillescubanfood.com'],(310) 289-0392,"{'lat': 34.052665, 'lng': -118.3765235}","['Cuban restaurant', 'Caribbean restaurant', 'Family restaurant', 'Latin American restaurant']",[],[],http://versaillescubanfood.com/,,,,,
Tabla by Sofi,"8108 W 3rd St, Los Angeles, CA 90048",http://tablabysofi.com/,[],(323) 852-3012,"{'lat': 34.0720521, 'lng': -118.3663059}","['Greek restaurant', 'Cocktail bar', 'Mediterranean restaurant', 'Restaurant']",[],[],http://tablabysofi.com/,,,,,
Lalibela,"1025 S Fairfax Ave, Los Angeles, CA 90019",http://lalibelala.com/,[],(323) 965-1025,"{'lat': 34.0574011, 'lng': -118.3645025}",['Ethiopian restaurant'],['https://www.instagram.com/lazada_id/'],['https://www.facebook.com/LazadaIndonesia'],http://lalibelala.com/,,,,,
The Restaurant at Hotel Bel-Air,"701 Stone Canyon Rd, Los Angeles, CA 90077",https://www.dorchestercollection.com/los-angeles/hotel-bel-air/dining/restaurant-at-hotel-bel-air,[],(310) 909-1644,"{'lat': 34.086601, 'lng': -118.4463523}",['Californian restaurant'],['https://instagram.com/hotelbelair'],['https://www.facebook.com/HotelBelAirLA'],https://www.dorchestercollection.com/los-angeles/hotel-bel-air/dining/restaurant-at-hotel-bel-air,,,,,
Videre Rooftop Restaurant & Bar,"6317 Wilshire Blvd, Los Angeles, CA 90048",https://www.viderela.com/,[],(323) 852-6002,"{'lat': 34.0639096, 'lng': -118.3659837}","['New American restaurant', 'American restaurant', 'Restaurant']",[],[],https://www.viderela.com/,,,,,
Tender Greens,"9523 Culver Blvd, Culver City, CA 90232",https://www.tendergreens.com/locations/culver-city,[],(310) 842-8300,"{'lat': 34.0233621, 'lng': -118.3952742}","['American restaurant', 'Family restaurant', 'Health food restaurant', 'New American restaurant']",['https://www.instagram.com/tendergreens'],['https://www.facebook.com/tendergreensfood'],https://www.tendergreens.com/locations/culver-city,,,,,
Hu's Szechwan Restaurant,"10450 National Blvd, Los Angeles, CA 90034",http://www.husrestaurant.com/,[],(310) 837-0252,"{'lat': 34.0286518, 'lng': -118.4120509}","['Chinese restaurant', 'Restaurant']",[],[],http://www.husrestaurant.com/,,,,,
Mayura Indian Restaurant,"10406 Venice Blvd., Culver City, CA 90232",https://mayura-indian-restaurant.com/,[],(310) 559-9644,"{'lat': 34.0200244, 'lng': -118.4041351}","['Indian restaurant', 'Indian takeaway']",[],[],https://mayura-indian-restaurant.com/,,,,,
Javan Restaurant,"11500 Santa Monica Blvd, Los Angeles, CA 90025",http://www.javanrestaurant.com/,"['javanexpress@outlook.com', 'Javanexpress@outlook.com']",(310) 207-5555,"{'lat': 34.0452901, 'lng': -118.4519807}","['Mediterranean restaurant', 'Catering food and drink supplier', 'Persian restaurant', 'Restaurant']",['https://www.instagram.com/javanrestaurantca/'],['https://www.facebook.com/JavanRestaurant'],http://www.javanrestaurant.com/,,,,,
Rosalind's,"1044 S Fairfax Ave, Los Angeles, CA 90019",http://rosalindsla.com/,[],(323) 936-2486,"{'lat': 34.056887, 'lng': -118.3641806}","['Ethiopian restaurant', 'Restaurant']",['http://instagram.com/rosalindsrestaurant'],['https://www.facebook.com/rosalindsrestaurant'],http://rosalindsla.com/,,,,,
Flour Pizzeria & Cafe,"11684 San Vicente Blvd unit B, Los Angeles, CA 90049",https://flourpizzeria.com/?utm_source=google,[],(424) 330-0220,"{'lat': 34.0535293, 'lng': -118.4647485}","['Pizza restaurant', 'Cafe']",[],[],https://flourpizzeria.com/?utm_source=google,,,,,
Moku Sushi,"524 Palisades Dr, Pacific Palisades, CA 90272, United States",http://www.mokusushi.com/,[],+1 424-272-9329,"{'lat': 34.0453395, 'lng': -118.5516281}","['Sushi restaurant', 'Thai restaurant']",[],[],http://www.mokusushi.com/,,,,,
