Company Name,Company Address,Company Website,HR Email,Sales BEST,Sales BETTER,Sales EXCLUDE,Company Careers Page,Company Products/Services Page,Instagram,Facebook,X,scraped_keywords,skill
The Little Door,"8164 W 3rd St, Los Angeles, CA 90048, USA",https://thelittledoor.com/,office@thelittledoor.com,,office@thelittledoor.com,sean@thelittledoor.com,,https://thelittledoor.com/menus#page; https://thelittledoor.com/menus,https://www.instagram.com/thelittledoorla,https://www.facebook.com/littledoor,,"00, 10, cards, door, events, experience, gallery, gift, home, hours, little, menu, menus, office, open, pm, story, table, tld, visit",11
Perch,"448 S Hill St, Los Angeles, CA 90013, USA",http://perchla.com/,hr@citrusmgt.com,,events@perchla.com; info@perchla.com; events@perchla.com,hr@citrusmgt.com,,http://perchla.com/menu-gallery; http://perchla.com/reservations; http://perchla.com/perchevents; http://perchla.com/menu-brunch; http://perchla.com/friday-lunch; http://perchla.com/menu-aperitif,https://www.instagram.com/perchlosangeles/,https://www.facebook.com/perchlosangeles,https://twitter.com/i/flow/login?redirect_after_login=%2FPERCHLosAngeles,"00pm, 30pm, contact, dinner, event, events, happy, hour, la, menu, mrs, perch, private, reservations, restaurant, rooftop, sister, table, view, vip",11
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017, USA",http://www.bottegalouie.com/,frontdesk@bottegalouie.com,sales@bottegalouie.com,frontdesk@bottegalouie.com; info@bottegalouie.com,guestservices@bottegalouie.com; weho@bottegalouie.com; dtla@bottegalouie.com,http://www.bottegalouie.com/pages/careers,https://www.bottegalouie.com; http://www.bottegalouie.com/pages/about; https://www.bottegalouie.com/collections/shop; http://www.bottegalouie.com/pages/contact; https://www.bottegalouie.com/pages/information; http://www.bottegalouie.com/pages/west-hollywood-updated; http://www.bottegalouie.com/; http://www.bottegalouie.com/pages/privacy; https://www.bottegalouie.com/pages/mobile-app; https://www.bottegalouie.com#main; http://www.bottegalouie.com/pages/information; http://www.bottegalouie.com/pages/mobile-app; http://www.bottegalouie.com/#main,https://instagram.com/bottegalouie,https://www.facebook.com/BottegaLouie,https://twitter.com/BottegaLouie,"angeles, app, available, bottega, careers, catering, contact, dining, hollywood, items, los, louie, menu, newsletter, patisserie, reservation, restaurant, thank, view, west",11
Girl & the Goat Los Angeles,"555-3 Mateo St, Los Angeles, CA 90013, USA",http://girlandthegoat.com/,info.la@girlandthegoat.com,,info.la@girlandthegoat.com; press@bokagrp.com; cbetancourt@bokagrp.com; info@girlandthegoat.com,,,http://girlandthegoat.com/chicago/menu; http://girlandthegoat.com/los-angeles/menu,https://www.instagram.com/girlandthegoatla/,https://www.facebook.com/girlandthegoatla/,,"2024, accessibility, angeles, boka, chef, chicago, girl, goat, group, izard, llc, los, map, reserved, restaurant, rights, site, stephanie, website",11
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071, USA",https://www.71above.com/,,,,,,,,,,"continue, cookies, enable, javascript, just, moment",
Water Grill,"544 S Grand Ave, Los Angeles, CA 90071, USA",https://www.watergrill.com/la,jperaza@kingsseafood.com,,jperaza@kingsseafood.com; oheld@kingsseafood.com; jperaza@watergrill.com; accessibility@kingsseafood.com; santamonica@watergrill.com; kgosselin@kingsseafood.com; oheld@watergrill.com; contactus@watergrill.com; mpolard@kingsseafood.com; lsmith@watergrill.com,dtla@watergrill.com,,https://www.watergrill.com/accessibility; https://www.watergrill.com/la#MENUS; https://www.watergrill.com/; https://www.watergrill.com/#LOCATIONS; https://www.watergrill.com/giftcards,https://www.instagram.com/watergrill,https://www.facebook.com/WaterGrillLosAngeles,,"11, 30, accessible, angeles, chef, crab, experience, general, grill, items, jose, king, los, menu, pm, privacy, seafood, water, website, wild",11
Oste,"8142 W 3rd St, Los Angeles, CA 90048, USA",http://ostelosangeles.com/,oste@ostelosangeles.com,,,oste@ostelosangeles.com,,http://ostelosangeles.com/menus/#burrata-bar; http://ostelosangeles.com/menus/#antipasti; http://ostelosangeles.com/menus/#primi; http://ostelosangeles.com/menus/#main-content; http://ostelosangeles.com/menus/#salumi-e-formaggi; http://ostelosangeles.com/menus/; http://ostelosangeles.com/menus/#le-cozze-di-oste-mussels; http://ostelosangeles.com/menus/#secondi; http://ostelosangeles.com/menus/#contorni,,,,"12pm, content, dough, email, enter, gallery, hours, locations, low, main, natural, oste, pinsa, powered, press, required, reservations, roman, signup, valid",
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, USA",http://www.republiquela.com/,events@republiquela.com,,events@republiquela.com; info@republiquela.com; events@bicyclettela.com; events@manzkecatering.com,,,https://republiquela.com/2025/05/chefs-wild-mushroom-tasting-menu/; https://republiquela.com/book-an-event/; https://republiquela.com/weekday-cafe-menu/,https://www.instagram.com/republiquerestaurantla/,,,"2025, accessibility, bakery, cafe, café, cards, chef, contact, cookbook, events, gift, home, menu, menus, online, order, pre, reservations, restaurant, république",11
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, USA",http://www.chispacca.com/,events@chispacca.com,,events@chispacca.com; reservations@mozza-la.com,,http://www.chispacca.com/about-us/#main-content; http://www.chispacca.com/upcoming-events/; http://www.chispacca.com/#main-content; http://www.chispacca.com/cookbook/; http://www.chispacca.com/about-us/; http://www.chispacca.com/accessibility-statement/; http://www.chispacca.com/menus; http://www.chispacca.com/private-events-and-catering; http://www.chispacca.com/menus/; http://www.chispacca.com/; http://www.chispacca.com/spacca-burgers/; http://www.chispacca.com/contact/; http://www.chispacca.com/team-member/joe-bastianich/; http://www.chispacca.com/location/chi-spacca-los-angeles/; http://www.chispacca.com/private-events-and-catering/,http://www.chispacca.com/menus; http://www.chispacca.com/accessibility-statement/; http://www.chispacca.com/menus/,https://www.instagram.com/chispacca,https://www.facebook.com/chiSPACCA,https://twitter.com/chiSPACCA,"00, 1133, 30, angeles, ca, cards, check, chi, dining, email, gift, italian, location, los, people, pm, required, reservations, slide, spacca",
Providence,"5955 Melrose Ave, Los Angeles, CA 90038, USA",https://providencela.com/,info@providencela.com,,info@providencela.com; meghan@moderncurrencypr.com,,,,https://www.instagram.com/providencela/,https://facebook.com/providencela,https://www.relaischateaux.com/us/restaurant/providence-la/,"403, forbidden, nginx",
