Company Name,Company Address,website,HR Email,Sales BEST,Sales BETTER,Sales EXCLUDE,Company Careers Page,Company Products/Services Page,Instagram,Facebook,X,description,skill_id
The Little Door,"8164 W 3rd St, Los Angeles, CA 90048, USA",https://thelittledoor.com/,office@thelittledoor.com,,office@thelittledoor.com,sean@thelittledoor.com,,https://thelittledoor.com/menus#page; https://thelittledoor.com/menus,https://www.instagram.com/thelittledoorla,https://www.facebook.com/littledoor,,"TLD 0 Skip to Content TLD Home Story Menus Events Gift Cards Visit Gallery Open Menu Close Menu TLD Home Story Menus Events Gift Cards Visit Gallery Open Menu Close Menu Folder: TLD Back Home Story Menus Events Gift Cards Visit Gallery BOOK YOUR TABLE The Little Door strives to preserve the quality and integrity of fresh ingredients by highlighting and enhancing their flavors. We seek to give our guests a true taste of what the local area has to offer while drawing inspiration from Mediterranean and European cuisine. Enjoy rustic meals accompanied by farm-to-table cocktails and a worldly selection of wines. SEE OUR MENUS The Little Door offers multiple rooms to host your next event or private dining experience! LEARN MORE Share The Little Door experience with others! GIFT CARDS Contact 8164 W. 3rd Street West Hollywood, CA 90048 office@thelittledoor.com (323) 951-1210 the little door Made with Squarespace ﻿ WEBSITE ACCESSIBILITY STATEMENT Hours Monday - Thursday 6:00 PM to 10:00 PM Fri",
Perch,"448 S Hill St, Los Angeles, CA 90013, USA",http://perchla.com/,hr@citrusmgt.com,,events@perchla.com; info@perchla.com; events@perchla.com,hr@citrusmgt.com,,http://perchla.com/menu-gallery; http://perchla.com/reservations; http://perchla.com/perchevents; http://perchla.com/menu-brunch; http://perchla.com/friday-lunch; http://perchla.com/menu-aperitif,https://www.instagram.com/perchlosangeles/,https://www.facebook.com/perchlosangeles,https://twitter.com/i/flow/login?redirect_after_login=%2FPERCHLosAngeles,"Perch LA 0 Skip to Content Perch LA Delivery Menu Gallery Events Contact Reservations Open Menu Close Menu Perch LA Delivery Menu Gallery Events Contact Reservations Open Menu Close Menu Delivery Menu Gallery Events Contact Reservations Reserve a Table VIP Rooftop Garden New Friday Summer Lunch Menu & Hours Perch Dinner & Menus New! Friday Summer Lunch Happy Hour 4p-6p Rooftop Brunch Perch Rooftop Bar Live Music & Djs Monday Night Pairing Menu Late Night Happy Hour 2025 Wine & Spirts List Perch’s Sister Restaurant Mrs. Fish Japanese Restaurant Whisky Bar View Mrs. Fish Private Dinner Parties Special Occasions Receptions VIEW EVENT SPACES Perch special event outdoor private seated dinners Perch rooftop private event seated dinner Perch rooftop private party receptions and buffets Reserve a Table Perch’s Sister Restaurant Located 15 floors below Perch’s rooftop is our sister restaurant Mrs. Fish, featuring modern Japanese cuisine and a robust whisky program in a stunningly designed, art-",
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017, USA",http://www.bottegalouie.com/,frontdesk@bottegalouie.com,sales@bottegalouie.com,frontdesk@bottegalouie.com; info@bottegalouie.com,guestservices@bottegalouie.com; weho@bottegalouie.com; dtla@bottegalouie.com,http://www.bottegalouie.com/pages/careers,https://www.bottegalouie.com; http://www.bottegalouie.com/pages/about; https://www.bottegalouie.com/collections/shop; http://www.bottegalouie.com/pages/contact; https://www.bottegalouie.com/pages/information; http://www.bottegalouie.com/pages/west-hollywood-updated; http://www.bottegalouie.com/; http://www.bottegalouie.com/pages/privacy; https://www.bottegalouie.com/pages/mobile-app; https://www.bottegalouie.com#main; http://www.bottegalouie.com/pages/information; http://www.bottegalouie.com/pages/mobile-app; http://www.bottegalouie.com/#main,https://instagram.com/bottegalouie,https://www.facebook.com/BottegaLouie,https://twitter.com/BottegaLouie,"Bottega Louie - Restaurant, Gourmet Market & Patisserie Skip to main content Locations LOS ANGELES WEST HOLLYWOOD Catalogs Catering Pastry Gifting Shop Gift Cards Ship Bottega Louie About Mobile App About Bottega Louie Press & Awards Privacy Policy Contact Careers Group Dining LOS ANGELES WEST HOLLYWOOD Patisserie Ordering LOS ANGELES WEST HOLLYWOOD Locations LOS ANGELES WEST HOLLYWOOD Catalogs Catering Pastry Gifting Shop Gift Cards Shop Contact Newsletter About About Bottega Louie Mobile App Press & Awards Privacy Policy Contact Careers Group Dining LOS ANGELES WEST HOLLYWOOD Patisserie Ordering LOS ANGELES WEST HOLLYWOOD ❮ ❯ RESERVATIONS AVAILABLE NOW Please click on the restaurant location below to make a reservation. Alternatively, please call a guest services associate at 213-802-1470 if the online reservation you want is unavailable. We have many dining options available to accommodate walk-ins and large parties. Please contact our guest services team to discuss a reservation or",11
Girl & the Goat Los Angeles,"555-3 Mateo St, Los Angeles, CA 90013, USA",http://girlandthegoat.com/,info.la@girlandthegoat.com,,info.la@girlandthegoat.com; press@bokagrp.com; cbetancourt@bokagrp.com; info@girlandthegoat.com,,,http://girlandthegoat.com/chicago/menu; http://girlandthegoat.com/los-angeles/menu,https://www.instagram.com/girlandthegoatla/,https://www.facebook.com/girlandthegoatla/,,"Girl & The Goat | Los Angeles & Chicago | Chef Stephanie Izard Girl and The Goat website accessibility site map Â Â© 2024 Boka Restaurant Group , LLC. All Rights Reserved",
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071, USA",https://www.71above.com/,,,,,,,,,,"71Above - Fine Dining Restaurant in CA Skip to main content 71Above-logo Menus Reservations Private Parties Digital Gift Cards FAQ More Menus Reservations Private Parties Digital Gift Cards FAQ DINING ELEVATED Book Your Experience 71Above A Unique Dining Experience Perched nearly 1,000 feet above Los Angeles, 71Above offers elevated modern American cuisine with breathtaking 360º views of the city. A sky-high escape for special occasions , celebrations and unforgettable moments . About Us Load More Content Load More Content Opens in a new window Opens an external site Opens an external site in a new window",
Water Grill,"544 S Grand Ave, Los Angeles, CA 90071, USA",https://www.watergrill.com/la,jperaza@kingsseafood.com,,jperaza@kingsseafood.com; oheld@kingsseafood.com; jperaza@watergrill.com; accessibility@kingsseafood.com; santamonica@watergrill.com; kgosselin@kingsseafood.com; oheld@watergrill.com; contactus@watergrill.com; mpolard@kingsseafood.com; lsmith@watergrill.com,dtla@watergrill.com,,https://www.watergrill.com/accessibility; https://www.watergrill.com/la#MENUS; https://www.watergrill.com/; https://www.watergrill.com/#LOCATIONS; https://www.watergrill.com/giftcards,https://www.instagram.com/watergrill,https://www.facebook.com/WaterGrillLosAngeles,,"Water Grill | Seafood | Downtown Los Angeles By clicking âAccept All Cookiesâ , you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. View our Privacy Policy for more information. Preferences Deny Accept Privacy Preference Center When you visit this website, we may store or retrieve data in your browser. This storage is often necessary for the basic functionality of the website. The storage may be used for marketing, analytics of the site. Privacy is important to us, so you have the option of disabling certain types of storage that may not be necessary for the basic functioning of the website. Blocking categories may impact your experience on the website. Reject all cookies Allow all cookies Manage Consent Preferences by Category Essential Always Active These items are required to enable basic website functionality. Marketing Essential These items are used to deliver advertising that is more relevant ",
Oste,"8142 W 3rd St, Los Angeles, CA 90048, USA",http://ostelosangeles.com/,oste@ostelosangeles.com,,,oste@ostelosangeles.com,,http://ostelosangeles.com/menus/#burrata-bar; http://ostelosangeles.com/menus/#antipasti; http://ostelosangeles.com/menus/#primi; http://ostelosangeles.com/menus/#main-content; http://ostelosangeles.com/menus/#salumi-e-formaggi; http://ostelosangeles.com/menus/; http://ostelosangeles.com/menus/#le-cozze-di-oste-mussels; http://ostelosangeles.com/menus/#secondi; http://ostelosangeles.com/menus/#contorni,,,,"Oste Skip to main content Hours & Locations Menus Press Gallery Reservations Toggle Navigation Hours & Locations Menus Press Gallery Reservations Email Signup powered by BentoBox Homepage Main content starts here, tab to start navigating WHAT IS PINSA ? From the Latin word “Pinsere” which means “to press” this ancient recipe dates to the Roman empire. Here at Oste we have taken the roman recipe and revamped it. Pinsa is made from a blend of premium quality flours, rice, soy, wheat, dry natural aroma all GMO free grains. Our dough is made up of high concentration of water and long cold fermentation, the process allows the dough to a natural rise, making our Pinsa extra light, low in fat, low calorie and easy to digest with the result of a divine crunchy bite. Buon appetito…. Contact Us oste@ostelosangeles.com Location 8142 W. 3rd Street Los Angeles (323) 413-2372 Hours Wed - Sat 12pm - 10pm Sun - Tues 12pm - 9:30pm Reservations Email Signup Email Signup powered by BentoBox leave this fi",
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, USA",http://www.republiquela.com/,events@republiquela.com,,events@republiquela.com; info@republiquela.com; events@bicyclettela.com; events@manzkecatering.com,,,https://republiquela.com/2025/05/chefs-wild-mushroom-tasting-menu/; https://republiquela.com/book-an-event/; https://republiquela.com/weekday-cafe-menu/,https://www.instagram.com/republiquerestaurantla/,,,"Home - République HOME ABOUT MENUS CAFE & BAKERY RESTAURANT ORDER ONLINE CAFÉ TO GO BAKERY PRE-ORDER GIFT CARDS COOKBOOK EVENTS ACCESSIBILITY RESERVATIONS CONTACT HOME ABOUT MENUS CAFE & BAKERY RESTAURANT ORDER ONLINE CAFÉ TO GO BAKERY PRE-ORDER GIFT CARDS COOKBOOK EVENTS ACCESSIBILITY RESERVATIONS CONTACT HOME ABOUT MENUS CAFE & BAKERY RESTAURANT ORDER ONLINE CAFÉ TO GO BAKERY PRE-ORDER GIFT CARDS COOKBOOK EVENTS ACCESSIBILITY RESERVATIONS CONTACT WELCOME TO RÉPUBLIQUE République, located in Miracle Mile, is owned by Chefs Walter and Margarita Manzke. Centered in the heart of Los Angeles, the historic building in which it resides was originally erected in 1929 by Charlie Chaplin, and later transformed into the iconic La Brea Bakery and Campanile Restaurant. République builds on this storied past, offering a gastronomic environment imbued with history and grandeur. The space features a casual bakery, café, and bar in the front with a more formal dining area located in the rear, serving",
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, USA",http://www.chispacca.com/,events@chispacca.com,,events@chispacca.com; reservations@mozza-la.com,,http://www.chispacca.com/about-us/#main-content; http://www.chispacca.com/upcoming-events/; http://www.chispacca.com/#main-content; http://www.chispacca.com/cookbook/; http://www.chispacca.com/about-us/; http://www.chispacca.com/accessibility-statement/; http://www.chispacca.com/menus; http://www.chispacca.com/private-events-and-catering; http://www.chispacca.com/menus/; http://www.chispacca.com/; http://www.chispacca.com/spacca-burgers/; http://www.chispacca.com/contact/; http://www.chispacca.com/team-member/joe-bastianich/; http://www.chispacca.com/location/chi-spacca-los-angeles/; http://www.chispacca.com/private-events-and-catering/,http://www.chispacca.com/menus; http://www.chispacca.com/accessibility-statement/; http://www.chispacca.com/menus/,https://www.instagram.com/chispacca,https://www.facebook.com/chiSPACCA,https://twitter.com/chiSPACCA,"Chi Spacca | Italian Restaurant in Los Angeles, CA Skip to main content 6610 Melrose Avenue, Los Angeles, CA 90038 (323) 297 1133 About Menus Mozza 2 Go Private Dining & Catering Chi Spacca Cookbook Ticketed Events Gift Cards sub-menu Gift Cards Purchase Gift Cards Check Balance Hours & Location Reservations 6610 Melrose Avenue, Los Angeles, CA 90038 (323) 297 1133 Toggle Navigation About Menus Mozza 2 Go Private Dining & Catering Chi Spacca Cookbook Ticketed Events Gift Cards sub-menu Gift Cards Purchase Gift Cards Check Balance Hours & Location Jobs Contact Accessibility Statement Reservations Email Signup Facebook Twitter Instagram 6610 Melrose Avenue, Los Angeles, CA 90038 (323) 297 1133 powered by BentoBox Home Main content starts here, tab to start navigating Slide 1 of 6 Slide 2 of 6 Slide 3 of 6 Slide 4 of 6 Slide 5 of 6 Slide 6 of 6 hero gallery paused, press to play images slides Playing hero gallery, press to pause images slides Menus Italian for ""she (or he) who cleaves,"" c",11
Providence,"5955 Melrose Ave, Los Angeles, CA 90038, USA",https://providencela.com/,info@providencela.com,,info@providencela.com; meghan@moderncurrencypr.com,,,,https://www.instagram.com/providencela/,https://facebook.com/providencela,https://www.relaischateaux.com/us/restaurant/providence-la/,"Providence Providence skip to content skip to footer About Team Menus News + Events Gift Certificates Hours + Directions Reservations 5955 Melrose Avenue Los Angeles , California 90038 USA (323) 460-4170 [email protected] For Media Inquiries Meghan Patke Modern Currency PR [email protected] (323) 377-7210 x Accessibility Dinner: Tuesday-Friday: 5:45PM - 9:15PM Saturday: 5:30PM - 9:15PM Sunday-Monday: Closed",
