Company Name,Company Address,Chosen Email
The Little Door,"8164 W 3rd St, Los Angeles, CA 90048, USA",
Perch,"448 S Hill St, Los Angeles, CA 90013, USA",info@perchla.com
Bottega Louie,"700 S Grand Ave, Los Angeles, CA 90017, USA",sales@bottegalouie.com
Girl & the Goat Los Angeles,"555-3 Mateo St, Los Angeles, CA 90013, USA",info@girlandthegoat.com
71Above,"633 W 5th St 71st floor, Los Angeles, CA 90071, USA",
Water Grill,"544 S Grand Ave, Los Angeles, CA 90071, USA",contactus@watergrill.com
Oste,"8142 W 3rd St, Los Angeles, CA 90048, USA",
République Café Bakery & République Restaurant,"624 S La Brea Ave, Los Angeles, CA 90036, USA",info@republiquela.com
Chi Spacca,"6610 Melrose Ave, Los Angeles, CA 90038, USA",
Providence,"5955 Melrose Ave, Los Angeles, CA 90038, USA",info@providencela.com
Bestia,"2121 E 7th Pl, Los Angeles, CA 90021, USA",info@bestiala.com
Majordomo,"1725 Naud St, Los Angeles, CA 90012, USA",
Fleming’s Prime Steakhouse & Wine Bar,"800 W Olympic Blvd Suite A-135, Los Angeles, CA 90015, USA",info@moonlarksla.com
Moonlark's Dinette,"1060 S Broadway, Los Angeles, CA 90015, USA",info@moonlarksla.com
JOEY DTLA,"700 W 7th St Ste S430, Los Angeles, CA 90017, USA",
Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, USA",sales@ilovemole.com
Redbird,"114 E 2nd St, Los Angeles, CA 90012, USA",info@redbird.la
Le Grand Restaurant,"707 S Grand Ave, Los Angeles, CA 90017, USA",
BROKEN MOUTH | Lee's Homestyle,"718 S Los Angeles St, Los Angeles, CA 90014, USA",hello@eatbrokenmouth.com
Le Petit Paris,"418 S Spring St, Los Angeles, CA 90013, USA",info@lepetitparisla.com
Home Restaurant,"1760 Hillhurst Ave, Los Angeles, CA 90027, USA",info@cabralosangeles.com
Cabra Los Angeles,"1060 S Broadway, Los Angeles, CA 90015, USA",info@cabralosangeles.com
DAMA Fashion District - Downtown LA Restaurant & Bar,"612 E 11th St, Los Angeles, CA 90015, USA",info@damafashiondistrict.com
District,"Plaza Level in The Bloc, 700 W 7th St, Los Angeles, CA 90017, USA",
Bavel,"500 Mateo St #102, Los Angeles, CA 90013, USA",info@baveldtla.com
De La Nonna,"710 E 4th Pl, Los Angeles, CA 90013, USA",info@delanonna.com
Eggslut,"317 S Broadway, Los Angeles, CA 90013, USA",info@grandcentralmarket.com
LA Prime Steakhouse,"404 S Figueroa St, Los Angeles, CA 90071, USA",
Maccheroni Republic,"332 S Broadway, Los Angeles, CA 90013, USA",
San Laurel,"100 S Grand Ave, Los Angeles, CA 90012, USA",info@thinkfoodgroup.com
Rossoblu,"1124 San Julian St, Los Angeles, CA 90015, USA",info@rossoblula.com
Camphor,"923 E 3rd St Suite 109, Los Angeles, CA 90013, USA",info@camphor.la
Orsa & Winston,"FARMERS AND MERCHANTS BANK BUILDING, 122 4th St, Los Angeles, CA 90013, USA",info@orsaandwinston.com
Mercado La Paloma,"3655 S Grand Ave # 280, Los Angeles, CA 90007, USA",
Hill Street Bar & Restaurant,"200 S Hill St, Los Angeles, CA 90012, USA",info@hillstreetla.com
Damian,"2132 E 7th Pl, Los Angeles, CA 90021, USA",info@damiandtla.com
The Little Jewel of New Orleans,"207 Ord St, Los Angeles, CA 90012, USA",
Kuya Lord,"5003 Melrose Ave, Los Angeles, CA 90038, USA",hello@kuyalord.com
BADMAASH Downtown LA,"108 W 2nd St APT 104, Los Angeles, CA 90012, USA",info@badmaashla.com
SORA Craft Kitchen,"1109 E 12th St, Los Angeles, CA 90021, USA",
