company_name,company_website,emails
République Café Bakery & République Restaurant,http://www.republiquela.com/,events@republiquela.com;events@manzkecatering.com;info@republiquela.com;events@bicyclettela.com
Bottega Louie,http://www.bottegalouie.com/,info@bottegalouie.com;frontdesk@bottegalouie.com;weho@bottegalouie.com;sales@bottegalouie.com;guestservices@bottegalouie.com;dtla@bottegalouie.com
71Above,https://www.71above.com/,lindsey@71above.com;reservations@71above.com;reservations@71above.com;lindsey@71above.com
The Little Door,https://thelittledoor.com/,office@thelittledoor.com;sean@thelittledoor.com
Perch,http://perchla.com/,hr@citrusmgt.com;info@perchla.com;events@perchla.com;events@perchla.com
Bestia,http://www.bestiala.com/,info@bestiala.com;press@bestiala.com;events@bestiala.com
Girl & the Goat Los Angeles,http://girlandthegoat.com/,cbetancourt@bokagrp.com;info@providencela.com;meghan@moderncurrencypr.com;press@bokagrp.com;info.la@girlandthegoat.com;info@girlandthegoat.com
Providence,https://providencela.com/,meghan@moderncurrencypr.com;info@providencela.com
Water Grill,https://www.watergrill.com/la,jperaza@watergrill.com;jperaza@kingsseafood.com;oheld@watergrill.com;accessibility@kingsseafood.com;kgosselin@kingsseafood.com;mpolard@kingsseafood.com;oheld@kingsseafood.com;lsmith@watergrill.com;santamonica@watergrill.com;contactus@watergrill.com;dtla@watergrill.com
Chi Spacca,http://www.chispacca.com/,reservations@mozza-la.com;events@chispacca.com
Redbird,http://www.redbird.la/,events@redbird.la;press@redbird.la;info@redbird.la
Moonlark's Dinette,https://www.moonlarksla.com/,cbetancourt@bokagrp.com;info@moonlarksla.com;cbetancourt@bokagrp.comâ;accessibility@joeyrestaurants.com
Eggslut,https://grandcentralmarket.com/vendors/eggslut/,info@grandcentralmarket.com
Le Grand Restaurant,https://www.legrand-restaurant.com/,dtla@legrand-restaurant.com
JOEY DTLA,https://joeyrestaurants.com/location/joey-dtla,community@joeyrestaurants.com;marketing@joeyrestaurants.com;accessibility@joeyrestaurants.com;purchasing@joeyrestaurants.com;giftcards@joeyrestaurants.com;realestate@joeyrestaurants.com;privacy@joeyrestaurants.com;reception@joeyrestaurants.com;bar@joeyrestaurants.com
Fleming’s Prime Steakhouse & Wine Bar,https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,compliance@bloominbrands.com
Home Restaurant,https://www.homerestaurantla.com/,None found
Majordomo,http://www.majordomo.la/,adaaccessibility@momofuku.com;domoevents@momofuku.com
Guelaguetza Restaurant,http://www.ilovemole.com/,jobs@ilovemole.com;press@ilovemole.com;info@ilovemole.com;events@ilovemole.com;adela@ilovemole.com;sales@ilovemole.com
Cabra Los Angeles,https://cabralosangeles.com/,cbetancourt@bokagrp.com;info@cabralosangeles.com;press@bokagrp.com;reservations@cabralosangeles.com;cbetancourt@bokagrp.comâ
Bavel,https://baveldtla.com/,press@baveldtla.com;events@baveldtla.com;reservations@baveldtla.com;info@baveldtla.com
The Grove,https://thegrovela.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,dnesheiwat@caruso.com
Orsa & Winston,http://orsaandwinston.com/,info@orsaandwinston.com
DAMA Fashion District - Downtown LA Restaurant & Bar,https://damafashiondistrict.com/,info@damafashiondistrict.com;reservations@damafashiondistrict.com;pablo@damafashiondistrict.com;marketing@happytoserveyou.com;pablo@damafashiondistrict.com;events@damafashiondistrict.com
Le Petit Paris,http://www.lepetitparisla.com/,info@lepetitparisla.com
San Laurel,https://www.sanlaurel.com/,digital@thinkfoodgroup.com;info@thinkfoodgroup.com;laxav.pdr@conradhotels.com
LA Prime Steakhouse,https://www.laprimesteakhouse.com/?utm_source=google&utm_medium=Yext,rexlene.della@westinbonaventure.com
Camphor,http://www.camphor.la/,info@camphor.la;events@camphor.la;pr@camphor.la
Firefly,https://www.fireflystudiocity.com/,None found
Maccheroni Republic,http://www.maccheronirepublic.com/,maccheronirepublicdtla@gmail.com
Rossoblu,https://www.rossoblula.com/,info@rossoblula.com
Damian,http://www.damiandtla.com/,careers@damiandtla.com;press@casamata.com;info@damiandtla.com;info@casamata.com
Cicada Restaurant and Lounge,http://www.cicadarestaurant.com/,events@cicadarestaurant.com;dulcem@cicadarestaurant.com
Kendall's Brasserie,http://www.kendallsla.com/,press@kendallsla.com;events@kendallsla.com
Salt N’ Peppa,,None found
BROKEN MOUTH | Lee's Homestyle,http://eatbrokenmouth.com/,hello@eatbrokenmouth.com
Little Beast Restaurant,http://www.littlebeastrestaurant.com/,hello@littlebeastrestaurant.com
Barton G. The Restaurant Los Angeles,https://www.bartong.com/restaurants/los-angeles/,hr@bartong.com;press@bartong.com;events@bartong.com;miamibeach@bartong.com;losangeles@bartong.com;info@bartong.com
n/naka,https://n-naka.com/,info@n-naka.com
La Boucherie,,None found
Urth Caffe,https://www.urthcaffe.com/,None found
Ristorante Per L’Ora,https://www.hotelperla.com/dine/#perlora,barclara@hotelperla.com;frontdesk@hotelperla.com;info@hotelperla.com;events@hotelperla.com;info@perloradtla.com;info@barclaradtla.com;ts@hotelperla.com
The Exchange Restaurant,https://www.theexchangela.com/,atlegal@thefreehand.com;events.losangeles@thefreehand.com;legal@thefreehand.com
El Coyote,,None found
SUR Restaurant and Lounge,http://www.surrestaurant.com/,info@surrestaurant.com
The L.A. Cafe,https://www.thelacafe.com/,info@thelacafe.com
L'APPART by AIR FOOD,http://www.air-food.com/,culture@air-food.com;20culture@air-food.com
District,http://www.districtdtla.com/,events@districtdtla.com
BADMAASH Downtown LA,http://www.badmaashla.com/,info@badmaashla.com;info@badmaashla.com
Hill Street Bar & Restaurant,http://www.hillstreetla.com/,stephanie@hillstreetla.com;info@hillstreetla.com;events@hillstreetla.com
The Little Jewel of New Orleans,https://littlejewel.net/?utm_source=google,None found
SUGARFISH by sushi nozawa,https://sugarfishsushi.com/locations/dtla/,downtown@sugarfishsushi.com;eat@sugarfishsushi.com
Kuya Lord,https://kuyalord.com/,hello@baroolosangeles.com;info@bestiala.com;hello@kuyalord.com
Baroo,https://www.baroolosangeles.com/,hello@baroolosangeles.com;hello@baroolosangeles.com.
Langer's Delicatessen-Restaurant,https://fooddiscoveryapp.com/los-angeles/langers-delicatessen-restaurant,None found
Abernethy's,https://abernethysla.com/,press@abernethysla.com
Won Kok Restaurant,https://won-kok-restaurant.com/,freewebsitecopyright@gmail.com
West Restaurant & Lounge,http://www.westrestaurantla.com/,westhosts@hotelangeleno.com;westhosts@hotelangeleno.com;westhost@hotelangeleno.com;sales@hotelangeleno.com;sales@hotelangeleno.com
Mirate,https://www.mirate.la/,hola@mirate.la;press@mirate.la
De La Nonna - Art's District,http://delanonna.com/,bbevents@casetta.com;bbevents@casetta.com;press@delanonna.com;bbinfo@delanonna.com;events@delanonna.com;info@delanonna.com;events@delanonna.com;bbinfo@delanonna.com;1@9i.jd;o@u.rub
