title,address,website,emails,phone,location,categories,instagrams,facebooks,Career Page,Products/Services Page,Scraped Emails (BEST),Scraped Emails (BETTER),Scraped Emails (EXCLUDE)
Gladstones Restaurant,"17300 CA-1, Pacific Palisades, CA 90272, United States",http://www.gladstones.com/,['hello@gladstones.com'],+1 310-454-3474,"{'lat': 34.038365, 'lng': -118.556626}","['Seafood restaurant', 'Bar']",['https://www.instagram.com/gladstonesmalibu/'],['https://www.facebook.com/GladstonesMalibu/'],http://www.gladstones.com/cart,http://www.gladstones.com/cart,,hello@gladstones.com,
Patrick's Roadhouse,"106 Entrada Dr, Santa Monica, CA 90402, United States",https://patricksroadhouse.info/,['filler@godaddy.com'],+1 310-459-4544,"{'lat': 34.0280153, 'lng': -118.5183308}","['Diner', 'Bar & grill', 'Bed & breakfast', 'Breakfast restaurant', 'Brunch restaurant', 'Cafe', 'Coffee shop', 'Hamburger restaurant', 'Lunch restaurant', 'Restaurant']",['https://www.instagram.com/muziccoin'],['https://www.facebook.com/625171027338725'],,,,,
Domino's Pizza,"16605 W Sunset Blvd Ste 103 Ste 103, Pacific Palisades, CA 90272, United States",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,[],+1 310-454-1035,"{'lat': 34.0478401, 'lng': -118.5439772}","['Pizza delivery', 'Chicken wings restaurant', 'Pizza restaurant', 'Pizza takeaway']",[],[],,,,,
Arth Bar & Kitchen - Indian Restaurant in Culver City,"9531 Culver Blvd, Culver City, CA 90232",http://www.arthla.com/,[],(424) 603-4155,"{'lat': 34.0232766, 'lng': -118.395398}",['Indian restaurant'],[],[],,,,,
Pearl Dragon,"15229 W Sunset Blvd, Pacific Palisades, CA 90272, United States",https://www.thepearldragon.com/,[],+1 310-459-9790,"{'lat': 34.0467938, 'lng': -118.5246607}","['Asian restaurant', 'Bar', 'Eclectic restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Sushi restaurant']",['https://www.instagram.com/lazada_id/'],['https://www.facebook.com/LazadaIndonesia'],https://www.thepearldragon.com/,https://bit.ly/lazada-ios-app?scm=1003.4.icms-zebra-5001424-2599675.OTHER_5198190608_2274300,,,
Casa Nostra Trattoria on Sunset,"15306 W Sunset Blvd, Pacific Palisades, CA 90272, United States",http://www.casanostrala.com/,[],+1 424-581-4000,"{'lat': 34.0473399, 'lng': -118.5261651}","['Italian restaurant', 'Fine dining restaurant', 'Restaurant']",[],[],,,,,
Palisades Garden Cafe,"15231 La Cruz Dr, Pacific Palisades, CA 90272",http://paligardencafe.com/,['palisadesgardencafe@gmail.com'],(310) 459-6160,"{'lat': 34.0457446, 'lng': -118.5250962}","['Restaurant', 'Cafe']",[],['https://www.facebook.com/Palisades'],http://paligardencafe.com/#content,https://paligardencafe.com/cafe/menu/,,palisadesgardencafe@gmail.com,
Fu's Palace Restaurant,"8751 W Pico Blvd, Los Angeles, CA 90035",http://www.fuspalaceonline.com/,[],(424) 688-6344,"{'lat': 34.05489, 'lng': -118.38281}",['Chinese restaurant'],[],[],https://order.mealkeyway.com/customer/release/index?mid=36634c613036663348626c53307476437375754871413d3d#/main,https://www.fuspalaceonline.com/,,,
Juquila Restaurant,"11619 Santa Monica Blvd, Los Angeles, CA 90025",https://restaurantejuquila.com/,"['contact@restaurantejuquila.com', 'Contact@RestauranteJuquila.com']",(310) 312-1079,"{'lat': 34.0445822, 'lng': -118.4547303}","['Mexican restaurant', 'Bar', 'Burrito restaurant', 'Caterer', 'Family restaurant', 'Latin American restaurant', 'Oaxacan restaurant', 'Taco restaurant']",['https://www.instagram.com/juquila_restaurantwla/'],['http://facebook.com/progression'],,,,,
Venice Bakery & Restaurant,"10943 Venice Blvd., Los Angeles, CA 90034",http://www.venicebakeryandrestaurant.com/,['venice_bakery@yahoo.com'],(310) 839-3478,"{'lat': 34.0155345, 'lng': -118.413268}","['Mexican restaurant', 'Bakery', 'Breakfast restaurant', 'Brunch restaurant', 'Restaurant']",['https://www.instagram.com/venicebakery/'],['https://www.facebook.com/VeniceBakeryR/'],https://www.wpastra.com,http://www.venicebakeryandrestaurant.com/#content,,venice_bakery@yahoo.com; ﻿venice_bakery@yahoo.com,
Taco Bell,"17299 Pacific Coast Hwy, Pacific Palisades, CA 90272, United States",https://locations.tacobell.com/ca/pacific-palisades/17299-pacific-coast-hwy.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=021122&utm_content=website&y_source=1_MTcyODMzOTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,[],+1 310-459-7645,"{'lat': 34.038964, 'lng': -118.554612}","['Tex-Mex restaurant', 'Breakfast restaurant', 'Burrito restaurant', 'Fast food restaurant', 'Lunch restaurant', 'Takeout restaurant', 'Mexican restaurant', 'Restaurant', 'Taco restaurant', 'Vegetarian restaurant']",[],[],https://maps.google.com/?cid=14678480806272271069,https://www.tacobell.com/food/cravings-value-menu?store=021122,,,
The Talpa Restaurant & Bar,"11751 W Pico Blvd, Los Angeles, CA 90064",https://thetalpa.com/,['thetalpainc@gmail.com'],(310) 478-3353,"{'lat': 34.0311998, 'lng': -118.4469398}",['Mexican restaurant'],['https://www.instagram.com/thetalparestaurant/'],['https://www.facebook.com/thetalpa/'],,,,,
The Culver Hotel Bar & Restaurant,"9400 Culver Blvd, Culver City, CA 90232",https://www.culverhotel.com/downtown-culver-city-restaurants,"['dining@theculverhotel.com', 'info@theculverhotel.com', 'reservations@theculverhotel.com', 'sales@theculverhotel.com', 'events@theculverhotel.com', 'restaurant.inquiry@theculverhotel.com', 'media@theculverhotel.com', 'hr@theculverhotel.com', 'creative@theculverhotel.com', 'sales@culverhotel.com']",(310) 558-9400,"{'lat': 34.0239233, 'lng': -118.3940638}","['Restaurant', 'Bar', 'Live music venue', 'Modern European restaurant']",['https://www.instagram.com/culverhotel/'],['https://www.facebook.com/TheCulverHotel'],https://www.culverhotel.com/downtown-culver-city-restaurants#intro,https://www.culverhotel.com/downtown-culver-city-restaurants#intro,,forms@tambourine.com; guestservices@culverhotel.com; dining@theculverhotel.com; info@culverhotel.com,
Versailles Cuban Food - La Cienega Blvd,"1415 S La Cienega Blvd, Los Angeles, CA 90035",http://versaillescubanfood.com/,['info@versaillescubanfood.com'],(310) 289-0392,"{'lat': 34.052665, 'lng': -118.3765235}","['Cuban restaurant', 'Caribbean restaurant', 'Family restaurant', 'Latin American restaurant']",[],[],https://www.yelp.com/biz/versailles-cuban-food-los-angeles-2,https://versaillescubanfood.com/menu/,,info@versaillescubanfood.com,
Tabla by Sofi,"8108 W 3rd St, Los Angeles, CA 90048",http://tablabysofi.com/,[],(323) 852-3012,"{'lat': 34.0720521, 'lng': -118.3663059}","['Greek restaurant', 'Cocktail bar', 'Mediterranean restaurant', 'Restaurant']",[],[],https://www.tablabysofi.com,https://www.tablabysofi.com,,88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; 8c4075d5481d476e945486754f783364@sentry.io; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; tablabysofi@gmail.com; c183baa23371454f99f417f6616b724d@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,
Lalibela,"1025 S Fairfax Ave, Los Angeles, CA 90019",http://lalibelala.com/,[],(323) 965-1025,"{'lat': 34.0574011, 'lng': -118.3645025}",['Ethiopian restaurant'],['https://www.instagram.com/lazada_id/'],['https://www.facebook.com/LazadaIndonesia'],https://www.lalibelala.com/,http://pages.lazada.co.id/wow/i/id/digitalgoods/home?hybrid=1&scm=1003.4.icms-zebra-5000383-2586266.OTHER_6502207798_7692459,,,
The Restaurant at Hotel Bel-Air,"701 Stone Canyon Rd, Los Angeles, CA 90077",https://www.dorchestercollection.com/los-angeles/hotel-bel-air/dining/restaurant-at-hotel-bel-air,[],(310) 909-1644,"{'lat': 34.086601, 'lng': -118.4463523}",['Californian restaurant'],['https://instagram.com/hotelbelair'],['https://www.facebook.com/HotelBelAirLA'],https://www.dorchestercollection.com/london/the-dorchester,https://www.dorchestercollection.com/london/the-dorchester,,u003erestaurant.hba@dorchestercollection.com; info.hba@dorchestercollection.com; restaurant.hba@dorchestercollection.com; restaurant.hba@dorchestercollection.com; u003einfo.hba@dorchestercollection.com,
Videre Rooftop Restaurant & Bar,"6317 Wilshire Blvd, Los Angeles, CA 90048",https://www.viderela.com/,[],(323) 852-6002,"{'lat': 34.0639096, 'lng': -118.3659837}","['New American restaurant', 'American restaurant', 'Restaurant']",[],[],https://www.viderela.com/#content,https://www.viderela.com/menu,,info@viderela.com,
Tender Greens,"9523 Culver Blvd, Culver City, CA 90232",https://www.tendergreens.com/locations/culver-city,[],(310) 842-8300,"{'lat': 34.0233621, 'lng': -118.3952742}","['American restaurant', 'Family restaurant', 'Health food restaurant', 'New American restaurant']",['https://www.instagram.com/tendergreens'],['https://www.facebook.com/tendergreensfood'],,,,,
Hu's Szechwan Restaurant,"10450 National Blvd, Los Angeles, CA 90034",http://www.husrestaurant.com/,[],(310) 837-0252,"{'lat': 34.0286518, 'lng': -118.4120509}","['Chinese restaurant', 'Restaurant']",[],[],,,,,
Mayura Indian Restaurant,"10406 Venice Blvd., Culver City, CA 90232",https://mayura-indian-restaurant.com/,[],(310) 559-9644,"{'lat': 34.0200244, 'lng': -118.4041351}","['Indian restaurant', 'Indian takeaway']",[],[],https://mayura-indian-restaurant.com/#main-content,https://mayura-indian-restaurant.com/#main-content,,,
