title,address,website,emails,phone,location,categories,instagrams,facebooks
Golden Bull Restaurant,"170 W Channel Rd, Santa Monica, CA 90402",http://www.goldenbullsantamonica.com/,"['events@goldenbullsantamonica.com', 'gm@goldenbullsantamonica.com']",(310) 230-0402,"{'lat': 34.0290426, 'lng': -118.5177412}","['Steak house', 'Gastropub', 'Restaurant']",https://www.instagram.com/thegoldenbullsm/,
Caffé Delfini,"147 W Channel Rd, Santa Monica, CA 90402",http://www.caffedelfini.com/,['caffedelfini@gmail.com'],(310) 459-8823,"{'lat': 34.0290339, 'lng': -118.5184118}","['Italian restaurant', 'Caterer', 'Family restaurant', 'Gluten-free restaurant', 'Takeout Restaurant', 'Mediterranean restaurant', 'Restaurant', 'Roman restaurant', 'Seafood restaurant']",https://www.instagram.com/caffedelfini,https://www.facebook.com/caffedelfiniofficial
Royal Dragon Chinese Restaurant,"21101 Sherman Way, Canoga Park, CA 91303",https://order.mealkeyway.com/customer/release/index,[],(818) 887-0445,"{'lat': 34.2015826, 'lng': -118.5929772}","['Chinese restaurant', 'Asian fusion restaurant', 'Takeout Restaurant', 'Restaurant']",,
Le Sanglier French Restaurant,"5522 Crebs Ave, Tarzana, CA 91356",http://www.lesanglierrestaurant.com/,[],(818) 345-0470,"{'lat': 34.1709944, 'lng': -118.5429111}","['French restaurant', 'Bar', 'Restaurant']",,https://www.facebook.com/LeSanglierRestaurant
Shamshiri Restaurant,"19249 Roscoe Blvd, Northridge, CA 91324",http://shamshirinorthridge.net/,['shamshirinorthridge@yahoo.com'],(818) 885-7846,"{'lat': 34.2211042, 'lng': -118.552987}","['Persian restaurant', 'Restaurant']",,http://www.facebook.com/shamshirinorthridge
Bale Valley Restaurant,"7223 De Soto Ave, Canoga Park, CA 91303",https://www.balevalley.com/,[],(818) 348-8578,"{'lat': 34.2018917, 'lng': -118.5889444}","['Vietnamese restaurant', 'Pho restaurant']",,
Las Fuentes Mexican Restaurant,"18415 Vanowen St, Reseda, CA 91335",http://www.lasfuentes.com/,[],(818) 708-3344,"{'lat': 34.1939888, 'lng': -118.534365}",['Mexican restaurant'],https://www.instagram.com/lasfuentesmexi/,https://www.facebook.com/lasfuentesmexi/
The Vegan Joint - Woodland Hills,"20855 Ventura Blvd #3, Woodland Hills, CA 91364",http://theveganjoint.com/,[],(818) 884-6383,"{'lat': 34.166835, 'lng': -118.587868}","['Vegan restaurant', 'Caterer', 'Gluten-free restaurant', 'Health food restaurant', 'Organic restaurant', 'Raw food restaurant', 'Restaurant', 'Thai restaurant', 'Vegetarian restaurant']",https://www.instagram.com/theveganjoint/,
Giorgio Baldi,"114 W Channel Rd, Santa Monica, CA 90402",http://www.giorgio-baldi.com/,[],(310) 573-1660,"{'lat': 34.0284066, 'lng': -118.5187501}","['Italian restaurant', 'Restaurant']",https://www.instagram.com/giorgiobaldi_ristorante/,
Vanak Restaurant & Bakery,"6740 Reseda Blvd E, Reseda, CA 91335",https://food.orders.co/vanakrestaurantbakery,[],(818) 342-4956,"{'lat': 34.1932743, 'lng': -118.535635}","['Persian restaurant', 'Breakfast restaurant', 'Halal restaurant']",,
