title,address,website,emails,phone,location,categories,instagrams,facebooks,Career Page
Denj Restaurant,"20002 Ventura Blvd, Woodland Hills, CA 91364",https://denj-cafe.com/,[],(818) 340-7777,"{'lat': 34.1716251, 'lng': -118.5687262}","['Persian restaurant', 'Takeout Restaurant', 'Sandwich shop']",,,
Shirin Restaurant,"21826 Ventura Blvd, Woodland Hills, CA 91364",https://shirinrestaurant.com/,[],(818) 887-1010,"{'lat': 34.1681951, 'lng': -118.6030123}","['Persian restaurant', 'Caterer', 'Mediterranean restaurant', 'Middle Eastern restaurant']",https://www.instagram.com/shirinrestaurantla/,https://www.facebook.com/ShirinRestaurant/,
Kourosh Restaurant,"22635 Ventura Blvd Unit A, Woodland Hills, CA 91364",http://www.kouroshrestaurant.com/,['info@kouroshrestaurant.com'],(818) 696-5000,"{'lat': 34.1677641, 'lng': -118.6204851}","['Persian restaurant', 'Mediterranean restaurant', 'Middle Eastern restaurant']",http://www.instagram.com/farnoshranjbari/,http://www.facebook.com/kourosh,
Fortune House Restaurant,"17206 Saticoy St, Lake Balboa, CA 91406",https://www.fortunehousethairestaurant.com/,[],(818) 781-4699,"{'lat': 34.2078399, 'lng': -118.5080347}","['Thai restaurant', 'Chinese restaurant']",,,
Anarbagh - Woodland Hills Indian Restaurant,"22721 Ventura Blvd, Woodland Hills, CA 91364",https://anarbaghrestaurant.com/,['Anarbagh1995@gmail.com'],(818) 224-3929,"{'lat': 34.166824, 'lng': -118.6215145}","['Restaurant', 'Indian restaurant']",https://www.instagram.com/anarbaghrestaurant/;   https://www.instagram.com/anarbaghindiancuisine/,,
Restaurant Tatsuki,"21630 Ventura Blvd, Woodland Hills, CA 91364",https://tatsukirestaurants.com/,['tatsuki@tatsukirestaurant.com'],(818) 340-8690,"{'lat': 34.1681274, 'lng': -118.6006589}","['Japanese restaurant', 'Sushi restaurant']",https://www.instagram.com/tatsuki_woodlandhills/,https://www.facebook.com/tatsukirestaurant/,
Shamshiri Restaurant,"19249 Roscoe Blvd, Northridge, CA 91324",http://shamshirinorthridge.net/,['shamshirinorthridge@yahoo.com'],(818) 885-7846,"{'lat': 34.2211042, 'lng': -118.552987}","['Persian restaurant', 'Restaurant']",,http://www.facebook.com/shamshirinorthridge,
The Baker Restaurant Bakery & Cafe,"21600 Ventura Blvd, Woodland Hills, CA 91364",http://www.thebakerrestaurant.com/,[],(818) 340-1987,"{'lat': 34.1678666, 'lng': -118.5999236}","['Restaurant', 'Bakery', 'Breakfast restaurant', 'Cafe', 'Chocolate shop', 'Gift basket store', 'Pastry shop']",https://www.instagram.com/thebakercafe/,https://www.facebook.com/bakerbakeryandcafe/,http://www.thebakerrestaurant.com/jobs/
Zig's Restaurant,"6821 White Oak Ave, Reseda, CA 91335",http://www.zigsreseda.com/,[],(818) 343-3679,"{'lat': 34.1945484, 'lng': -118.5187728}","['American restaurant', 'Breakfast restaurant', 'Diner']",,,
Millie's Restaurant & Bakery,"16840 Vanowen St, Van Nuys, CA 91406",http://milliesrestaurantandbakery.net/,['milliesrestaurantvannuys@gmail.com'],(818) 785-3894,"{'lat': 34.1935895, 'lng': -118.5002977}","['American restaurant', 'Breakfast restaurant']",https://www.instagram.com/milliesrestaurantvannuys,https://www.facebook.com/457003257486311,https://tmt.spotapps.co/job-listings
Buca di Beppo Italian Restaurant,"17500 Ventura Blvd, Encino, CA 91316",https://dineatbuca.com/locations/encino/,"['customercomments@eatatbuca.com', 'privacy@eatatbuca.com']",(818) 995-3288,"{'lat': 34.1613133, 'lng': -118.5145011}","['Italian restaurant', 'Family restaurant']",https://www.instagram.com/bucadibeppo/,https://www.facebook.com/bucadibeppo,https://dineatbuca.com/employment/
Lulu's Restaurant and Sports Bar,"16900 Roscoe Blvd, Van Nuys, CA 91406",https://www.lulusrestaurant.com/,[],(818) 988-0707,"{'lat': 34.2209836, 'lng': -118.5014536}",['Californian restaurant'],,,
Pi On Sunset,"10658 Zelzah Ave, Granada Hills, CA 91344",http://thepionsunset.com/,['info@chopboard.co'],(818) 360-9993,"{'lat': 34.263962, 'lng': -118.523009}",['Mediterranean restaurant'],https://www.instagram.com/pionsunset/,https://www.facebook.com/PiOnSunsetWeHo/;   https://www.facebook.com/8369410683;   https://facebook.com/8369410683;   https://facebook.com/345343152231798;   https://facebook.com/352342018220889;   https://facebook.com/6173581356049842;   https://facebook.com/685525431464355;   https://facebook.com/137055149819232;   https://facebook.com/137825623087135;   https://facebook.com/171279243029944;   https://facebook.com/2103691636374955;   https://facebook.com/533165016735118;   https://facebook.com/585574294788446;   https://facebook.com/865694266775651;   https://facebook.com/146705622167201;   https://facebook.com/340798422686612;   https://facebook.com/449956345083937;   https://facebook.com/475340992539157,
Lum-Ka-Naad,"8910 Reseda Blvd, Northridge, CA 91324",http://www.lum-ka-naad.com/,[],(818) 882-3028,"{'lat': 34.2322428, 'lng': -118.5358868}","['Thai restaurant', 'Asian restaurant', 'Bar', 'Restaurant', 'Seafood restaurant', 'Southeast Asian restaurant']",,https://www.facebook.com/profile.php,
