id,category,subcategory,name,priority,group,job_titles,archived,subCatOrderID,skillOrderID,mainCatOrderID
1,Retail & Foodservice,Management,Retail,5,,"General Manager, Manager",false,1,1,1
2,Retail & Foodservice,Management,Merchandising,5,,"Merchandising Manager, Merchandising Operations Lead",false,1,3,1
3,Retail & Foodservice,Management,Procurement: consumer / retail,5,,"Procurement Manager, Buying Operations Lead, Procurement Lead",false,1,4,1
4,Retail & Foodservice,Management,Procurement: commercial / enterprise,5,,"Procurement Manager, Buying Operations Lead, Procurement Lead",false,1,5,1
5,Retail & Foodservice,Management,Inventory,5,1,"Inventory Manager, Inventory Operations Lead",false,1,6,1
6,Retail & Foodservice,Management,Auditing,5,,"Audit Manager, Audit Lead",false,1,7,1
7,Retail & Foodservice,Management,"Restaurants, Food & Beverage",5,,"General Manager, Restaurant Manager, Food & Beverage Manager",false,1,8,1
8,Retail & Foodservice,Management,Front of house,5,,"Front of House Manager, Front of House Lead, Dining Manager",false,1,9,1
9,Retail & Foodservice,Management,Bar,5,,"Bar Manager, Bar Operations Manager",false,1,10,1
10,Retail & Foodservice,Management,Kitchen,5,,"Kitchen Manager, BOH Operations Manager",false,1,11,1
11,Retail & Foodservice,Management,Catering,5,,"Catering Manager, Catering Operations Lead",false,1,12,1
12,Retail & Foodservice,Management,Baking,5,,"Head Baker, Baking Manager, Baking Operations Lead",false,1,13,1
13,Retail & Foodservice,Management,Pastry,5,,"Pastry Chef, Pastry Manager, Pastry Operations Lead",false,1,14,1
14,Retail & Foodservice,Management,Meat & Seafood,5,,"Meat & Seafood Manager, Meat & Seafood Lead",false,1,15,1
15,Retail & Foodservice,Management,Valet / parking,4,2,"Parking Manager, Parking Management, Parking Lead, Parking Supervisor",false,1,16,1
16,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Sales: consumer / retail,3,3,"Sales Associate, Salesperson, Sales, Sales Representative",false,2,1,1
17,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Sales: commercial / enterprise,4,4,"Sales Associate, Salesperson, Sales, Sales Representative",false,2,2,1
18,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Customer service,3,6,"Customer Service Associate, Customer Service, Associate",false,2,4,1
19,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Cashier,2,8,"Cashier, Team Member, Associate",false,2,5,1
20,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Bank teller,3,9,"Bank Teller, Teller",false,2,6,1
21,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Procurement: consumer / retail,3,,"Procurement, Buyer, Purchasing Associate, Buying Specialist",false,2,7,1
22,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Procurement: commercial / enterprise,4,,"Procurement, Buyer, Purchasing Associate, Buying Specialist",false,2,8,1
23,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Merchandising,3,,Merchandiser,false,2,9,1
24,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Receiving,3,10,"Receiver, Receiving Associate",false,2,10,1
25,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Inventory,3,11,"Inventory Specialist, Inventory Associate",false,2,11,1
26,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Auditing,3,,Auditor,false,2,12,1
27,Retail & Foodservice,"Sales, Customer Services & Retail Operations",General labor: light lifting,1,12,"Team Member, Associate, Crew Member",false,2,13,1
28,Retail & Foodservice,"Sales, Customer Services & Retail Operations",General labor: heavy lifting,1,13,"Team Member, Associate, Crew Member",false,2,14,1
29,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Janitorial / custodial,2,14,"Steward, Custodian, Janitorial Services Associate",false,2,15,1
30,Retail & Foodservice,"Sales, Customer Services & Retail Operations",Valet / parking,1,15,"Parking Attendant, Parking Associate, Parking Valet, Car Attendant",false,2,16,1
31,Retail & Foodservice,"Hosts, Servers & Dining Services",Host,2,,Host,false,3,1,1
32,Retail & Foodservice,"Hosts, Servers & Dining Services",Server / waitstaff,3,5,"Server, Waitstaff",false,3,2,1
33,Retail & Foodservice,"Hosts, Servers & Dining Services",Food runner,2,,Food Runner,false,3,3,1
34,Retail & Foodservice,"Hosts, Servers & Dining Services",Bussing tables,1,,"Busser, Table Busser",false,3,4,1
35,Retail & Foodservice,"Hosts, Servers & Dining Services",Flight attendant,3,16,Flight Attendant,false,3,5,1
36,Retail & Foodservice,Beverages,Barista,2,,Barista,false,4,1,1
37,Retail & Foodservice,Beverages,Barback,1,,Barback,false,4,2,1
38,Retail & Foodservice,Beverages,Bartender,3,,Bartender,false,4,3,1
39,Retail & Foodservice,Beverages,Wine Steward / Sommelier,4,,Wine Steward,false,4,4,1
40,Retail & Foodservice,Beverages,Brewing beer,4,17,Brewer,false,4,5,1
41,Retail & Foodservice,Beverages,Distilling spirits,4,18,Distiller,false,4,6,1
42,Retail & Foodservice,Beverages,Roasting coffee,3,19,Coffee Roaster,false,4,7,1
43,Retail & Foodservice,"Kitchen / Food ",Dishwasher,1,,Dishwasher,false,5,1,1
44,Retail & Foodservice,"Kitchen / Food ",Expeditor,3,,Expeditor,false,5,2,1
45,Retail & Foodservice,"Kitchen / Food ",Food prep / assembly,2,,"Food Prep, Food Production",false,5,3,1
46,Retail & Foodservice,"Kitchen / Food ",Cook,3,,Cook,false,5,4,1
47,Retail & Foodservice,"Kitchen / Food ",Making sushi,3,,Sushi Chef,false,5,5,1
48,Retail & Foodservice,"Kitchen / Food ",Making pizza,3,,Pizza Cook,false,5,6,1
49,Retail & Foodservice,"Kitchen / Food ",Making pasta,3,,Pasta Maker,false,5,7,1
50,Retail & Foodservice,"Kitchen / Food ",Butcher,3,,Butcher,false,5,8,1
51,Retail & Foodservice,"Kitchen / Food ",Fishmonger / seafood,3,,Fishmonger,false,5,9,1
52,Retail & Foodservice,"Kitchen / Food ",Baking,2,,Baker,false,5,10,1
