Skills Tags,Prompt Rule,Skills IDs,Skills Names
BUSINESS TYPES,"maid services, house cleaning services, office cleaning services, commercial cleaning services, Dry cleaning, Specialty cleaning services, fire water and mold restoration, HAZMAT cleaning services, Window cleaning services, Pool cleaning, Carpet & upholstry cleaning services, Grease trap cleaning, Portable toilets services, Septic cleaning services",,
,"Staffing & recruiting house cleaning, Industrial Staffing & Recruiting, Staffing & Recruiting Services, Recruiter, Accounting & Payroll Staffing & Recruiting, Customer Service Staffing & Recruiting, Sales Staffing & Recruiting, Admin Staffing & Recruiting, Manufacturing Staffing & Recruiting. Security Staffing, Video & Audio Production Staffing & Recruiting, Property Management Staffing & Recruiting, Staffing & Recruiting Mechanics",,
SPECIAL TAGS(Taken from recruiting),"1) NO TAG
Use this tag if there is no tag that represents the industry / specializations in the tags list of the recruiting business being analyzed, or this is not a recruiting / staffing / temp to hire / placement / etc. type of company or, it is but only recruits for executive level positions. If this special tag is used do not use any other tag.",,
IMPORTANT NOTES,"Always include the tag ""Office location"" with the other tags that apply to the business / location, except when there is no ADDRESS.",,
,"For the application link, many of these companies will have their own jobs page that lists the jobs they are trying to recruit for their customers. This is the best link for the application link, if one is found. ",,
Office location,"1) Office location
Office tag should be used for companies at every location. ","71, 104, 112, 115, 158, 163","71: Sales & Customer Service>Customer Service>Customer service
104: Administrative, Payments & Accounting>Management>Administrative / clerical
112: Administrative, Payments & Accounting>General Administrative>Administrative / clerical
115: Administrative, Payments & Accounting>Billing, Payroll & Accounting>Accounts receivable
158: Human Resources & Recruiting>Management>Human resources
163: Human Resources & Recruiting>HR Operations>Human resources"
Laundromats & Dry Cleaning businesses,"2) Laundromats & Dry Cleaning businesses
Use this tag if the business is a Laundromats and / or  Dry Cleaning business.","195, 210, 211","195: Cleaning & Remediation>Management>Laundry services
210: Cleaning & Remediation>Service Area>General labor: light lifting
211: Cleaning & Remediation>Service Area>General labor: heavy lifting"
Travel residential house cleaning,"3) Travel residential house cleaning
Use this tag if the business offers residential house cleaning only.","194, 200","194: Cleaning & Remediation>Management>Housekeeping services
200: Cleaning & Remediation>Service Area>Housekeeping services"
Travel janitorial and commercial building cleaning,"4) Travel janitorial and commercial building cleaning
Use this tag if the business offers janitorial / commercial building cleaning services only.","196, 201","196: Cleaning & Remediation>Management>Janitorial / custodial
201: Cleaning & Remediation>Service Area>Janitorial / custodial"
Travel Fire flood & mold,"5) Travel Fire flood & mold
Use this tag if the business offers cleaning services for fire, flood & mold.","197, 202, 211","197: Cleaning & Remediation>Management>Disaster remediation & cleanup
202: Cleaning & Remediation>Service Area>Fire, flood & mold
211: Cleaning & Remediation>Service Area>General labor: heavy lifting"
Travel hazmat,"6) Travel hazmat
Use this tag if the business offers HAZMAT cleaning services.",203,203: Cleaning & Remediation>Service Area>Hazmat / biohazard
Travel Window cleaning service residential,"7) Travel Window cleaning service residential
Use this tag if the business offers residential window cleaning services only.","206, 211","206: Cleaning & Remediation>Service Area>Window cleaning: residential
211: Cleaning & Remediation>Service Area>General labor: heavy lifting"
Travel Window cleaning service commercial,"8) Travel Window cleaning service commercial
Use this tag if the business offers commercial window cleaning services only.","207, 211","207: Cleaning & Remediation>Service Area>Window cleaning: commercial
211: Cleaning & Remediation>Service Area>General labor: heavy lifting"
Travel Pool & hot tub cleaning services,"9) Travel Pool & hot tub cleaning services
Use this tag if the business offers pool and / or hot tub cleaning services.",204,204: Cleaning & Remediation>Service Area>Maintenance & service: residential pools
Travel Carpet and Upholstery,"10) Travel Carpet and Upholstery
Use this tag if the business offers carpet and / or upholstery.","208, 211","208: Cleaning & Remediation>Service Area>Carpet & upholstry
211: Cleaning & Remediation>Service Area>General labor: heavy lifting"
Travel Grease Trap Septic Portable Toilets Cleaning,"11) Travel Grease Trap Septic Portable Toilets Cleaning
Use this tag if the business offers cleaning services for Grease Traps, Septic, Portable Toilets Cleaning, etc where a truck will have to be used, mainly a tanker truck.","211, 311, 312, 314","211: Cleaning & Remediation>Service Area>General labor: heavy lifting
311: Driving & Equipment Operation>Commercial Driver's Licenses>Class B
312: Driving & Equipment Operation>Commercial Driver's Licenses>Class C
314: Driving & Equipment Operation>Commercial Driver's Licenses>Endorsement N: tanker vehicles"
