company_name,company_website,Chosen Email,Chosen Email HR
République Café Bakery & République Restaurant,http://www.republiquela.com/,info@republiquela.com,info@republiquela.com
Bottega Louie,http://www.bottegalouie.com/,sales@bottegalouie.com,sales@bottegalouie.com
71Above,https://www.71above.com/,,
The Little Door,https://thelittledoor.com/,,
Perch,http://perchla.com/,info@perchla.com,info@perchla.com
Bestia,http://www.bestiala.com/,info@bestiala.com,info@bestiala.com
Girl & the Goat Los Angeles,http://girlandthegoat.com/,info@girlandthegoat.com,info@girlandthegoat.com
Providence,https://providencela.com/,info@providencela.com,info@providencela.com
Water Grill,https://www.watergrill.com/la,contactus@watergrill.com,contactus@watergrill.com
Chi Spacca,http://www.chispacca.com/,,
Redbird,http://www.redbird.la/,info@redbird.la,info@redbird.la
Moonlark's Dinette,https://www.moonlarksla.com/,info@moonlarksla.com,info@moonlarksla.com
Eggslut,https://grandcentralmarket.com/vendors/eggslut/,info@grandcentralmarket.com,info@grandcentralmarket.com
Le Grand Restaurant,https://www.legrand-restaurant.com/,,
JOEY DTLA,https://joeyrestaurants.com/location/joey-dtla,,
Fleming’s Prime Steakhouse & Wine Bar,https://www.flemingssteakhouse.com/Locations/CA/Los-Angeles?y_source=1_MTU1MDMxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,
Home Restaurant,https://www.homerestaurantla.com/,,
Majordomo,http://www.majordomo.la/,,
Guelaguetza Restaurant,http://www.ilovemole.com/,sales@ilovemole.com,sales@ilovemole.com
Cabra Los Angeles,https://cabralosangeles.com/,info@cabralosangeles.com,info@cabralosangeles.com
Bavel,https://baveldtla.com/,info@baveldtla.com,info@baveldtla.com
The Grove,https://thegrovela.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,,
Orsa & Winston,http://orsaandwinston.com/,info@orsaandwinston.com,info@orsaandwinston.com
DAMA Fashion District - Downtown LA Restaurant & Bar,https://damafashiondistrict.com/,info@damafashiondistrict.com,info@damafashiondistrict.com
Le Petit Paris,http://www.lepetitparisla.com/,info@lepetitparisla.com,info@lepetitparisla.com
San Laurel,https://www.sanlaurel.com/,info@thinkfoodgroup.com,info@thinkfoodgroup.com
LA Prime Steakhouse,https://www.laprimesteakhouse.com/?utm_source=google&utm_medium=Yext,,
Camphor,http://www.camphor.la/,info@camphor.la,info@camphor.la
Firefly,https://www.fireflystudiocity.com/,,
Maccheroni Republic,http://www.maccheronirepublic.com/,,
Rossoblu,https://www.rossoblula.com/,info@rossoblula.com,info@rossoblula.com
Damian,http://www.damiandtla.com/,info@damiandtla.com,info@damiandtla.com
Cicada Restaurant and Lounge,http://www.cicadarestaurant.com/,,
Kendall's Brasserie,http://www.kendallsla.com/,,
Salt N’ Peppa,,,
BROKEN MOUTH | Lee's Homestyle,http://eatbrokenmouth.com/,hello@eatbrokenmouth.com,hello@eatbrokenmouth.com
Little Beast Restaurant,http://www.littlebeastrestaurant.com/,hello@littlebeastrestaurant.com,hello@littlebeastrestaurant.com
Barton G. The Restaurant Los Angeles,https://www.bartong.com/restaurants/los-angeles/,info@bartong.com,info@bartong.com
n/naka,https://n-naka.com/,info@n-naka.com,info@n-naka.com
La Boucherie,,,
Urth Caffe,https://www.urthcaffe.com/,,
Ristorante Per L’Ora,https://www.hotelperla.com/dine/#perlora,info@perloradtla.com,info@perloradtla.com
The Exchange Restaurant,https://www.theexchangela.com/,,
El Coyote,,,
SUR Restaurant and Lounge,http://www.surrestaurant.com/,info@surrestaurant.com,info@surrestaurant.com
The L.A. Cafe,https://www.thelacafe.com/,info@thelacafe.com,info@thelacafe.com
L'APPART by AIR FOOD,http://www.air-food.com/,,
District,http://www.districtdtla.com/,,
BADMAASH Downtown LA,http://www.badmaashla.com/,info@badmaashla.com,info@badmaashla.com
Hill Street Bar & Restaurant,http://www.hillstreetla.com/,info@hillstreetla.com,info@hillstreetla.com
The Little Jewel of New Orleans,https://littlejewel.net/?utm_source=google,,
SUGARFISH by sushi nozawa,https://sugarfishsushi.com/locations/dtla/,,
Kuya Lord,https://kuyalord.com/,hello@kuyalord.com,hello@kuyalord.com
Baroo,https://www.baroolosangeles.com/,hello@baroolosangeles.com,hello@baroolosangeles.com
Langer's Delicatessen-Restaurant,https://fooddiscoveryapp.com/los-angeles/langers-delicatessen-restaurant,,
Abernethy's,https://abernethysla.com/,,
Won Kok Restaurant,https://won-kok-restaurant.com/,,
West Restaurant & Lounge,http://www.westrestaurantla.com/,sales@hotelangeleno.com,sales@hotelangeleno.com
Mirate,https://www.mirate.la/,hola@mirate.la,hola@mirate.la
De La Nonna - Art's District,http://delanonna.com/,info@delanonna.com,info@delanonna.com
