Name,Description,Business Types,Potential Jobs,Required Skills,Skill IDs,Address,Skill Names
Happy Heart Pet Care,"Happy Heart Pet Care is likely a pet care business that provides services such as pet sitting, dog walking, grooming, and possibly boarding. They may also offer additional services like pet transportation or basic training.","point_of_interest, establishment","Pet Sitter, Dog Walker, Pet Groomer, Pet Trainer, Pet Transportation Specialist, Receptionist","Knowledge of animal behavior and care, Experience working with a variety of pets, Physical fitness for walking and handling animals, Customer service skills, Communication skills, Time management and organization skills","185, 186, 187",,
Pet Care LA,"Pet Care LA is likely a pet care business that provides services such as pet sitting, dog walking, grooming, and possibly boarding for pets in the Los Angeles area.","point_of_interest, establishment","Pet Sitter, Dog Walker, Pet Groomer, Kennel Attendant, Receptionist","Animal handling and care, Customer service, Time management, Communication skills, Knowledge of different breeds and their needs","185, 186, 187",,
Critters Dog Co.,"Critters Dog Co. is likely a dog care business that provides services such as dog walking, pet sitting, grooming, and possibly dog training. They may also sell pet products and accessories.","point_of_interest, establishment","Dog Walker, Pet Sitter, Groomer, Dog Trainer, Retail Sales Associate","Knowledge of dog behavior and care, Physical fitness for dog walking and grooming, Customer service skills, Attention to detail, Ability to work independently and as part of a team","185, 186, 187",,
LA Bird Sitting & Boarding by Elle,"LA Bird Sitting & Boarding by Elle is likely a business that provides bird sitting and boarding services in Los Angeles, CA. They may offer services such as daily bird care, overnight boarding, and grooming for pet birds.","point_of_interest, establishment","Bird Sitter, Bird Boarding Attendant, Groomer, Customer Service Representative","Knowledge of bird care and behavior, Experience handling and caring for birds, Attention to detail, Customer service skills, Ability to follow instructions and protocols for bird care","185, 187",,
Doggie Goddess Pet Services,"Doggie Goddess Pet Services is likely a business that provides various services for dogs, such as dog walking, pet sitting, grooming, and possibly training. They may also offer pet transportation services.","point_of_interest, establishment","Dog Walker, Pet Sitter, Groomer, Dog Trainer, Pet Transporter","Knowledge of dog behavior and care, Experience working with dogs, Physical fitness for dog walking and handling, Communication skills for interacting with clients and their pets, Patience and compassion towards animals","185, 186, 187",,
Pawfessional Pet Services City dogs 5 star rating,"Pawfessional Pet Services City dogs 5 star rating is likely a pet care business that provides services for dogs in the city of Los Angeles. They may offer services such as dog walking, pet sitting, grooming, and possibly even dog training.","point_of_interest, establishment","Dog Walker, Pet Sitter, Groomer, Dog Trainer","Knowledge of dog behavior and handling, Physical fitness for walking and handling dogs, Customer service skills for interacting with pet owners, Grooming skills for bathing and grooming services, Training skills for dog training services","185, 186, 187",,
South Park Doggie - Playland (DTLA),"South Park Doggie - Playland (DTLA) is likely a dog daycare and boarding facility located in downtown Los Angeles. They may offer services such as dog playtime, socialization, and overnight stays for dogs.","point_of_interest, establishment","Dog Caregiver/Handler, Receptionist, Kennel Attendant, Dog Trainer, Groomer","Experience working with dogs, Knowledge of dog behavior and body language, Customer service skills, Cleaning and maintenance skills, Ability to handle multiple dogs at once, Certification in dog training or grooming may be required for specific roles",185,,
Pet Express,"Pet Express is likely an animal care business that provides services such as pet grooming, pet boarding, pet sitting, and pet transportation.","point_of_interest, establishment","Pet Groomer, Pet Sitter, Kennel Attendant, Pet Transporter, Receptionist","Knowledge of animal behavior and handling, Experience in grooming or pet care, Customer service skills, Physical fitness for handling animals, Attention to detail, Communication skills","185, 186, 187",,
Ally McPets Pet Sitting and Dog Walking,"Ally McPets Pet Sitting and Dog Walking is likely a business that offers pet sitting services for various animals and dog walking services for pet owners in the Torrance, CA area.","point_of_interest, establishment","Pet Sitter, Dog Walker, Pet Care Assistant, Customer Service Representative","Knowledge of animal behavior and care, Experience in handling various types of animals, Physical fitness for dog walking, Excellent communication skills for interacting with pet owners, Reliability and trustworthiness for pet sitting responsibilities","185, 186",,
Westside Pet Sitters,"Westside Pet Sitters is likely a pet care business that provides services such as pet sitting, dog walking, and possibly grooming for pets in the Westside area of Los Angeles.","point_of_interest, establishment","Pet Sitter, Dog Walker, Pet Groomer, Customer Service Representative","Animal handling and care, Knowledge of different pet breeds and behaviors, Customer service skills, Time management and organization skills, Physical fitness for walking and handling pets","185, 186, 187",,
County of Los Angeles Department of Animal Care and Control - Baldwin Park Animal Care Center,The County of Los Angeles Department of Animal Care and Control - Baldwin Park Animal Care Center is likely an animal shelter or animal control facility that provides care and services for animals in need.,"point_of_interest, establishment","Animal Care Technician, Animal Control Officer, Veterinarian, Animal Care Manager, Adoption Counselor","Animal handling and care, Knowledge of animal behavior, Medical knowledge for basic animal care, Customer service skills for interacting with potential adopters, Ability to work in a fast-paced and sometimes stressful environment","185, 188, 189","4275 Elton St, Baldwin Park, CA 91706, United States","Animal Care & Services>Pet Caretaking>Pet sitting, Animal Care & Services>Pet Caretaking>General labor: light lifting
189: Animal Care & Services>Pet Caretaking>General labor: heavy lifting"
